epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.0406,0.59137,0.70802,1,0.58384,0.00332041,0.00332041,0.00332041
2,75.1585,0.47792,0.64764,1,0.69953,0.00663179,0.00663179,0.00663179
3,110.795,0.44527,0.73242,1,0.59406,0.00992117,0.00992117,0.00992117
4,146.731,0.45577,0.74979,1,0.49897,0.009901,0.009901,0.009901
5,183.293,0.4601,0.74773,1,0.54357,0.009868,0.009868,0.009868
6,219.729,0.41042,0.7804,1,0.42689,0.009835,0.009835,0.009835
7,256.684,0.38502,0.73821,1,0.48498,0.009802,0.009802,0.009802
8,294.186,0.36493,0.77585,1,0.45859,0.009769,0.009769,0.009769
9,331.954,0.34435,0.77957,1,0.41046,0.009736,0.009736,0.009736
10,370.08,0.32323,0.80397,1,0.40413,0.009703,0.009703,0.009703
11,407.75,0.30833,0.79074,1,0.42369,0.00967,0.00967,0.00967
12,445.381,0.30428,0.81431,1,0.40175,0.009637,0.009637,0.009637
13,483.04,0.29903,0.81638,1,0.40033,0.009604,0.009604,0.009604
14,520.979,0.28751,0.81803,1,0.39704,0.009571,0.009571,0.009571
15,558.913,0.28096,0.76882,1,0.51656,0.009538,0.009538,0.009538
16,597.025,0.28291,0.82175,1,0.38178,0.009505,0.009505,0.009505
17,635.155,0.26615,0.80314,1,0.41924,0.009472,0.009472,0.009472
18,673.805,0.2907,0.81141,1,0.42393,0.009439,0.009439,0.009439
19,711.304,0.30378,0.81059,1,0.39471,0.009406,0.009406,0.009406
20,749.06,0.26361,0.81307,1,0.41679,0.009373,0.009373,0.009373
21,787.033,0.25376,0.82258,1,0.39548,0.00934,0.00934,0.00934
22,824.861,0.25913,0.8201,1,0.40998,0.009307,0.009307,0.009307
23,862.686,0.24521,0.8383,1,0.36744,0.009274,0.009274,0.009274
24,900.6,0.2388,0.83292,1,0.37181,0.009241,0.009241,0.009241
25,938.471,0.23444,0.82382,1,0.40619,0.009208,0.009208,0.009208
26,976.587,0.23665,0.8383,1,0.38653,0.009175,0.009175,0.009175
27,1014.52,0.23434,0.84285,1,0.36186,0.009142,0.009142,0.009142
28,1052.66,0.22923,0.83954,1,0.39164,0.009109,0.009109,0.009109
29,1090.63,0.2743,0.83623,1,0.36505,0.009076,0.009076,0.009076
30,1128.67,0.2397,0.8383,1,0.38262,0.009043,0.009043,0.009043
31,1166.54,0.23364,0.84574,1,0.3484,0.00901,0.00901,0.00901
32,1204.6,0.21697,0.85318,1,0.34171,0.008977,0.008977,0.008977
33,1242.97,0.21269,0.84864,1,0.36004,0.008944,0.008944,0.008944
34,1281.14,0.21077,0.85939,1,0.35932,0.008911,0.008911,0.008911
35,1319.69,0.21528,0.84864,1,0.35787,0.008878,0.008878,0.008878
36,1357.76,0.20997,0.85153,1,0.35212,0.008845,0.008845,0.008845
37,1395.98,0.19824,0.85153,1,0.38026,0.008812,0.008812,0.008812
38,1434.03,0.20002,0.85773,1,0.35889,0.008779,0.008779,0.008779
39,1472.2,0.20016,0.8536,1,0.35179,0.008746,0.008746,0.008746
40,1510.31,0.19325,0.85856,1,0.35194,0.008713,0.008713,0.008713
41,1548.26,0.19582,0.85484,1,0.36232,0.00868,0.00868,0.00868
42,1586.22,0.1933,0.85112,1,0.34891,0.008647,0.008647,0.008647
43,1624.08,0.18673,0.85939,1,0.33751,0.008614,0.008614,0.008614
44,1662.19,0.18163,0.86228,1,0.34252,0.008581,0.008581,0.008581
45,1700.51,0.1896,0.86849,1,0.34267,0.008548,0.008548,0.008548
46,1738.75,0.18408,0.86394,1,0.34956,0.008515,0.008515,0.008515
47,1776.95,0.18382,0.86352,1,0.34583,0.008482,0.008482,0.008482
48,1815.04,0.18131,0.86352,1,0.34227,0.008449,0.008449,0.008449
49,1853.07,0.18977,0.86022,1,0.34911,0.008416,0.008416,0.008416
50,1891.17,0.17747,0.86476,1,0.35296,0.008383,0.008383,0.008383
51,1929.16,0.2485,0.85112,1,0.37992,0.00835,0.00835,0.00835
52,1967.9,0.20532,0.84946,1,0.38464,0.008317,0.008317,0.008317
53,2006.08,0.18177,0.85732,1,0.37765,0.008284,0.008284,0.008284
54,2044.33,0.17625,0.86104,1,0.37258,0.008251,0.008251,0.008251
