epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2376,0.64111,0.63648,1,0.68652,0.00329114,0.00329114,0.00329114
2,38.4055,0.52497,0.6555,1,0.68667,0.00660261,0.00660261,0.00660261
3,54.6446,0.47618,0.73118,1,0.61287,0.00989208,0.00989208,0.00989208
4,71.293,0.43135,0.77171,1,0.47217,0.009901,0.009901,0.009901
5,87.8317,0.38229,0.77502,1,0.44443,0.009868,0.009868,0.009868
6,104.602,0.34625,0.756,1,0.48479,0.009835,0.009835,0.009835
7,121.024,0.31731,0.79529,1,0.40789,0.009802,0.009802,0.009802
8,137.566,0.3085,0.7105,1,0.53701,0.009769,0.009769,0.009769
9,153.805,0.29484,0.72457,1,0.58916,0.009736,0.009736,0.009736
10,170.032,0.27205,0.81183,1,0.39238,0.009703,0.009703,0.009703
11,186.611,0.2533,0.78908,1,0.44348,0.00967,0.00967,0.00967
12,203.277,0.24381,0.81886,1,0.39983,0.009637,0.009637,0.009637
13,219.894,0.23742,0.8139,1,0.42043,0.009604,0.009604,0.009604
14,236.724,0.2255,0.82175,1,0.39609,0.009571,0.009571,0.009571
15,252.779,0.22781,0.81348,1,0.41021,0.009538,0.009538,0.009538
16,269.391,0.21488,0.82837,1,0.37002,0.009505,0.009505,0.009505
17,286.119,0.20173,0.79942,1,0.51189,0.009472,0.009472,0.009472
18,302.207,0.20801,0.80314,1,0.45085,0.009439,0.009439,0.009439
19,318.729,0.20209,0.81183,1,0.42991,0.009406,0.009406,0.009406
20,335.39,0.19104,0.81762,1,0.44526,0.009373,0.009373,0.009373
21,351.713,0.17614,0.82341,1,0.45793,0.00934,0.00934,0.00934
22,368.026,0.18253,0.7957,1,0.64329,0.009307,0.009307,0.009307
23,384.42,0.17803,0.81555,1,0.44075,0.009274,0.009274,0.009274
24,401.04,0.16354,0.83499,1,0.39592,0.009241,0.009241,0.009241
25,417.295,0.16145,0.80976,1,0.49321,0.009208,0.009208,0.009208
26,434.757,0.16185,0.83127,1,0.38425,0.009175,0.009175,0.009175
27,451.363,0.15665,0.83375,1,0.41167,0.009142,0.009142,0.009142
28,467.634,0.14966,0.82878,1,0.46274,0.009109,0.009109,0.009109
29,484.135,0.15069,0.8416,1,0.40168,0.009076,0.009076,0.009076
30,500.475,0.14961,0.83871,1,0.42251,0.009043,0.009043,0.009043
31,516.805,0.1429,0.83664,1,0.4345,0.00901,0.00901,0.00901
32,533.275,0.1515,0.80273,1,0.58315,0.008977,0.008977,0.008977
33,549.843,0.14044,0.83085,1,0.45361,0.008944,0.008944,0.008944
34,565.578,0.13946,0.82878,1,0.49675,0.008911,0.008911,0.008911
35,582.756,0.13412,0.83871,1,0.45964,0.008878,0.008878,0.008878
36,598.919,0.14119,0.8416,1,0.42695,0.008845,0.008845,0.008845
37,615.476,0.13926,0.82961,1,0.49434,0.008812,0.008812,0.008812
38,632.428,0.13,0.8292,1,0.45593,0.008779,0.008779,0.008779
39,648.023,0.13853,0.84367,1,0.43279,0.008746,0.008746,0.008746
40,664.762,0.11957,0.8383,1,0.43289,0.008713,0.008713,0.008713
41,680.847,0.11839,0.83706,1,0.41719,0.00868,0.00868,0.00868
42,697.26,0.12205,0.8416,1,0.42625,0.008647,0.008647,0.008647
43,713.641,0.11662,0.8172,1,0.51646,0.008614,0.008614,0.008614
44,730.899,0.11308,0.84615,1,0.4394,0.008581,0.008581,0.008581
45,746.758,0.11787,0.83581,1,0.47432,0.008548,0.008548,0.008548
46,763.502,0.12626,0.83333,1,0.44402,0.008515,0.008515,0.008515
47,780.017,0.11422,0.83706,1,0.46609,0.008482,0.008482,0.008482
48,796.546,0.11097,0.84864,1,0.44673,0.008449,0.008449,0.008449
49,812.59,0.11161,0.84822,1,0.46238,0.008416,0.008416,0.008416
50,829.474,0.11075,0.82796,1,0.52268,0.008383,0.008383,0.008383
51,845.216,0.11797,0.85194,1,0.5082,0.00835,0.00835,0.00835
52,862.343,0.11266,0.83292,1,0.52976,0.008317,0.008317,0.008317
53,878.099,0.12068,0.85732,1,0.38767,0.008284,0.008284,0.008284
54,895.485,0.10496,0.8536,1,0.47571,0.008251,0.008251,0.008251
55,911.701,0.10607,0.80149,1,0.6354,0.008218,0.008218,0.008218
56,929.21,0.11236,0.83375,1,0.50413,0.008185,0.008185,0.008185
57,945.588,0.12156,0.83499,1,0.51104,0.008152,0.008152,0.008152
58,961.767,0.10861,0.8416,1,0.4634,0.008119,0.008119,0.008119
59,978.055,0.10851,0.85484,1,0.45032,0.008086,0.008086,0.008086
60,994.816,0.11301,0.84078,1,0.49053,0.008053,0.008053,0.008053
61,1011.16,0.11067,0.85236,1,0.42883,0.00802,0.00802,0.00802
62,1028.6,0.10962,0.85277,1,0.48914,0.007987,0.007987,0.007987
63,1044.83,0.10805,0.84946,1,0.44402,0.007954,0.007954,0.007954
64,1060.65,0.09557,0.85897,1,0.49722,0.007921,0.007921,0.007921
65,1077.06,0.10253,0.84781,1,0.48423,0.007888,0.007888,0.007888
66,1093.66,0.1051,0.85732,1,0.41555,0.007855,0.007855,0.007855
