epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.664,0.56999,0.77392,1,0.49373,0.00330484,0.00330484,0.00330484
2,25.2353,0.47386,0.78087,1,0.47565,0.00659436,0.00659436,0.00659436
3,39.7985,0.47747,0.6264,1,0.66068,0.00983989,0.00983989,0.00983989
4,52.8615,0.48116,0.783,1,0.48003,0.009802,0.009802,0.009802
5,63.1087,0.4062,0.78407,1,0.4458,0.009736,0.009736,0.009736
6,73.0803,0.35614,0.83271,1,0.3918,0.00967,0.00967,0.00967
7,83.1632,0.34673,0.77712,1,0.44215,0.009604,0.009604,0.009604
8,93.2969,0.3245,0.77659,1,0.53096,0.009538,0.009538,0.009538
9,103.026,0.29903,0.80759,1,0.45744,0.009472,0.009472,0.009472
10,113.29,0.28982,0.86799,1,0.30987,0.009406,0.009406,0.009406
11,123.409,0.28603,0.60877,1,1.0668,0.00934,0.00934,0.00934
12,133.301,0.26834,0.84126,1,0.39595,0.009274,0.009274,0.009274
13,143.244,0.26224,0.85676,1,0.35477,0.009208,0.009208,0.009208
14,153.382,0.266,0.60342,1,1.06992,0.009142,0.009142,0.009142
15,162.99,0.25355,0.88669,1,0.29237,0.009076,0.009076,0.009076
16,173.029,0.25309,0.7039,1,0.66383,0.00901,0.00901,0.00901
17,183.072,0.23777,0.876,1,0.31449,0.008944,0.008944,0.008944
18,192.742,0.23813,0.84126,1,0.34557,0.008878,0.008878,0.008878
19,203.262,0.23005,0.85836,1,0.3661,0.008812,0.008812,0.008812
20,213.672,0.22636,0.88455,1,0.28686,0.008746,0.008746,0.008746
21,224.208,0.21502,0.84981,1,0.36278,0.00868,0.00868,0.00868
22,234.736,0.23172,0.90059,1,0.25176,0.008614,0.008614,0.008614
23,245.376,0.21468,0.88188,1,0.27256,0.008548,0.008548,0.008548
24,255.829,0.21479,0.86745,1,0.2908,0.008482,0.008482,0.008482
25,266.249,0.21166,0.88936,1,0.31845,0.008416,0.008416,0.008416
26,276.338,0.19859,0.88509,1,0.28904,0.00835,0.00835,0.00835
27,286.676,0.20214,0.90433,1,0.24281,0.008284,0.008284,0.008284
28,298.473,0.18846,0.89898,1,0.26752,0.008218,0.008218,0.008218
29,309.664,0.1967,0.86104,1,0.38949,0.008152,0.008152,0.008152
30,320.804,0.18256,0.86799,1,0.32227,0.008086,0.008086,0.008086
31,331.96,0.17968,0.89524,1,0.2479,0.00802,0.00802,0.00802
32,342.987,0.18085,0.86959,1,0.29684,0.007954,0.007954,0.007954
33,354.131,0.18416,0.8915,1,0.28328,0.007888,0.007888,0.007888
34,365.455,0.17343,0.8589,1,0.35104,0.007822,0.007822,0.007822
35,376.577,0.17583,0.83805,1,0.37866,0.007756,0.007756,0.007756
36,387.664,0.1791,0.90486,1,0.26598,0.00769,0.00769,0.00769
37,398.414,0.17137,0.90914,1,0.23215,0.007624,0.007624,0.007624
38,409.525,0.16957,0.91288,1,0.25083,0.007558,0.007558,0.007558
39,420.809,0.17012,0.9054,1,0.24436,0.007492,0.007492,0.007492
40,431.736,0.15904,0.9054,1,0.25282,0.007426,0.007426,0.007426
41,442.974,0.15734,0.91769,1,0.21767,0.00736,0.00736,0.00736
42,454.138,0.15873,0.91395,1,0.23472,0.007294,0.007294,0.007294
43,465.134,0.15428,0.90914,1,0.22791,0.007228,0.007228,0.007228
44,476.476,0.15131,0.91021,1,0.24224,0.007162,0.007162,0.007162
45,487.667,0.14292,0.89417,1,0.25757,0.007096,0.007096,0.007096
