epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.3203,0.59316,0.7527,1,0.49891,0.00330827,0.00330827,0.00330827
2,27.1168,0.51039,0.61401,1,0.81715,0.00659777,0.00659777,0.00659777
3,38.4421,0.50289,0.62529,1,0.76692,0.00984327,0.00984327,0.00984327
4,50.0784,0.48273,0.66008,1,0.61337,0.009802,0.009802,0.009802
5,61.2176,0.43727,0.78232,1,0.44342,0.009736,0.009736,0.009736
6,72.3656,0.39031,0.83122,1,0.3697,0.00967,0.00967,0.00967
7,83.7094,0.38662,0.76352,1,0.4588,0.009604,0.009604,0.009604
8,94.8208,0.35312,0.8472,1,0.33108,0.009538,0.009538,0.009538
9,106.011,0.35916,0.62576,1,0.98736,0.009472,0.009472,0.009472
10,117.74,0.33924,0.83921,1,0.33874,0.009406,0.009406,0.009406
11,129.543,0.32076,0.84861,1,0.33493,0.00934,0.00934,0.00934
12,141.285,0.30644,0.83216,1,0.39806,0.009274,0.009274,0.009274
13,152.777,0.2994,0.82934,1,0.38573,0.009208,0.009208,0.009208
14,164.568,0.29481,0.86413,1,0.32256,0.009142,0.009142,0.009142
15,176.418,0.29068,0.81194,1,0.40942,0.009076,0.009076,0.009076
16,187.762,0.28339,0.86178,1,0.2982,0.00901,0.00901,0.00901
17,199.378,0.2871,0.83169,1,0.34292,0.008944,0.008944,0.008944
18,211.017,0.2757,0.86413,1,0.30351,0.008878,0.008878,0.008878
19,223.037,0.26496,0.80677,1,0.45053,0.008812,0.008812,0.008812
20,234.992,0.26661,0.86977,1,0.29795,0.008746,0.008746,0.008746
21,246.346,0.25818,0.87776,1,0.27532,0.00868,0.00868,0.00868
22,257.795,0.25722,0.87776,1,0.29553,0.008614,0.008614,0.008614
23,269.399,0.25008,0.87118,1,0.29408,0.008548,0.008548,0.008548
24,280.954,0.24473,0.81805,1,0.38646,0.008482,0.008482,0.008482
25,293.134,0.24457,0.85614,1,0.31902,0.008416,0.008416,0.008416
26,304.974,0.24423,0.85661,1,0.3155,0.00835,0.00835,0.00835
27,316.656,0.23885,0.86084,1,0.32446,0.008284,0.008284,0.008284
28,328.362,0.22587,0.88152,1,0.29277,0.008218,0.008218,0.008218
29,340.014,0.22447,0.89516,1,0.25739,0.008152,0.008152,0.008152
30,351.642,0.22392,0.87353,1,0.2849,0.008086,0.008086,0.008086
31,363.359,0.22905,0.89751,1,0.24708,0.00802,0.00802,0.00802
32,374.873,0.22378,0.8552,1,0.31644,0.007954,0.007954,0.007954
33,387.187,0.21878,0.89328,1,0.26708,0.007888,0.007888,0.007888
34,399.657,0.20928,0.89469,1,0.26416,0.007822,0.007822,0.007822
35,412.206,0.21199,0.90879,1,0.23454,0.007756,0.007756,0.007756
36,425.031,0.19966,0.88387,1,0.25514,0.00769,0.00769,0.00769
37,437.408,0.20612,0.88999,1,0.25549,0.007624,0.007624,0.007624
38,449.666,0.19581,0.89234,1,0.26261,0.007558,0.007558,0.007558
39,461.891,0.19335,0.89704,1,0.27492,0.007492,0.007492,0.007492
40,474.049,0.19671,0.89469,1,0.23413,0.007426,0.007426,0.007426
41,485.845,0.19176,0.90597,1,0.24242,0.00736,0.00736,0.00736
42,497.64,0.19754,0.89939,1,0.25032,0.007294,0.007294,0.007294
