epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.9371,0.5997,0.59594,1,0.74565,0.00331395,0.00331395,0.00331395
2,30.5334,0.53296,0.5273,1,0.92955,0.00660341,0.00660341,0.00660341
3,43.8967,0.52045,0.64275,1,2.94869,0.00984888,0.00984888,0.00984888
4,57.5387,0.51207,0.68097,1,0.61293,0.009802,0.009802,0.009802
5,70.782,0.43451,0.69345,1,0.57559,0.009736,0.009736,0.009736
6,84.7022,0.40716,0.70749,1,0.5726,0.00967,0.00967,0.00967
7,98.2425,0.39037,0.70125,1,0.70521,0.009604,0.009604,0.009604
8,112.082,0.37527,0.70749,1,0.58165,0.009538,0.009538,0.009538
9,125.893,0.36338,0.72309,1,0.54727,0.009472,0.009472,0.009472
10,139.911,0.34892,0.73011,1,0.54559,0.009406,0.009406,0.009406
11,155.236,0.33187,0.73401,1,0.52912,0.00934,0.00934,0.00934
12,170.858,0.33822,0.73635,1,0.59859,0.009274,0.009274,0.009274
13,187.872,0.32151,0.74805,1,0.54997,0.009208,0.009208,0.009208
14,204.99,0.31848,0.72309,1,0.59912,0.009142,0.009142,0.009142
15,223.818,0.30744,0.71919,1,0.6109,0.009076,0.009076,0.009076
16,241.754,0.30415,0.73635,1,0.68501,0.00901,0.00901,0.00901
17,259.556,0.29167,0.70905,1,0.79359,0.008944,0.008944,0.008944
18,276.992,0.2967,0.73791,1,0.62462,0.008878,0.008878,0.008878
19,296.245,0.28945,0.72543,1,0.63359,0.008812,0.008812,0.008812
20,316.065,0.27992,0.73245,1,0.55287,0.008746,0.008746,0.008746
21,335.6,0.27714,0.69111,1,0.67991,0.00868,0.00868,0.00868
22,353.256,0.27384,0.73089,1,0.61943,0.008614,0.008614,0.008614
23,367.054,0.27623,0.73713,1,0.66848,0.008548,0.008548,0.008548
24,380.686,0.27813,0.75195,1,0.50884,0.008482,0.008482,0.008482
25,395.034,0.25987,0.72699,1,0.5232,0.008416,0.008416,0.008416
26,409.052,0.25433,0.72855,1,0.55819,0.00835,0.00835,0.00835
27,422.896,0.25416,0.71061,1,0.63963,0.008284,0.008284,0.008284
28,436.485,0.24563,0.73635,1,0.56603,0.008218,0.008218,0.008218
29,450.529,0.25,0.73713,1,0.57378,0.008152,0.008152,0.008152
30,464.588,0.25197,0.71217,1,0.62132,0.008086,0.008086,0.008086
31,480.136,0.23852,0.74493,1,0.75795,0.00802,0.00802,0.00802
32,495.758,0.24498,0.72855,1,0.59326,0.007954,0.007954,0.007954
33,512.377,0.23361,0.73479,1,0.81077,0.007888,0.007888,0.007888
34,527.921,0.23998,0.74493,1,0.59033,0.007822,0.007822,0.007822
35,544.705,0.22403,0.73713,1,0.56636,0.007756,0.007756,0.007756
36,561.883,0.22386,0.73479,1,0.55293,0.00769,0.00769,0.00769
37,575.641,0.2222,0.73011,1,0.64853,0.007624,0.007624,0.007624
38,589.63,0.22172,0.73635,1,0.88996,0.007558,0.007558,0.007558
39,603.526,0.22137,0.74259,1,0.67356,0.007492,0.007492,0.007492
40,617.362,0.22587,0.75975,1,0.58848,0.007426,0.007426,0.007426
41,631.531,0.21481,0.75273,1,0.60276,0.00736,0.00736,0.00736
42,645.402,0.20928,0.76677,1,0.56664,0.007294,0.007294,0.007294
43,659.072,0.21224,0.74961,1,0.54571,0.007228,0.007228,0.007228
44,672.624,0.20564,0.74649,1,0.62065,0.007162,0.007162,0.007162
45,686.708,0.21539,0.75429,1,0.78276,0.007096,0.007096,0.007096
46,700.299,0.20547,0.74883,1,0.63996,0.00703,0.00703,0.00703
47,714.158,0.19536,0.75819,1,0.60782,0.006964,0.006964,0.006964
48,728.1,0.19512,0.75819,1,0.57914,0.006898,0.006898,0.006898
49,741.867,0.19074,0.74493,1,0.61288,0.006832,0.006832,0.006832
50,755.944,0.18823,0.74727,1,0.93939,0.006766,0.006766,0.006766
51,769.702,0.19423,0.75741,1,0.68568,0.0067,0.0067,0.0067
52,783.46,0.18508,0.76209,1,0.63916,0.006634,0.006634,0.006634
53,797.609,0.18341,0.75897,1,0.5934,0.006568,0.006568,0.006568
54,813.047,0.18163,0.75507,1,0.59863,0.006502,0.006502,0.006502
55,828.389,0.17382,0.75429,1,0.63316,0.006436,0.006436,0.006436
56,843.387,0.18252,0.75663,1,0.60622,0.00637,0.00637,0.00637
57,858.653,0.19102,0.73557,1,0.60935,0.006304,0.006304,0.006304
58,874.127,0.17647,0.75117,1,0.68743,0.006238,0.006238,0.006238
59,889.443,0.17557,0.75273,1,0.71684,0.006172,0.006172,0.006172
60,904.453,0.17476,0.75507,1,0.879,0.006106,0.006106,0.006106
61,919.689,0.17217,0.74805,1,0.61212,0.00604,0.00604,0.00604
62,934.827,0.17359,0.74571,1,0.6325,0.005974,0.005974,0.005974
63,950.114,0.16714,0.75273,1,0.6276,0.005908,0.005908,0.005908
64,965.33,0.16749,0.74649,1,0.65838,0.005842,0.005842,0.005842
65,980.583,0.16044,0.74181,1,0.67221,0.005776,0.005776,0.005776
66,996.044,0.16801,0.75507,1,0.78101,0.00571,0.00571,0.00571
67,1011.35,0.15531,0.75117,1,0.63979,0.005644,0.005644,0.005644
68,1026.37,0.16309,0.74571,1,0.62825,0.005578,0.005578,0.005578
69,1041.33,0.15303,0.74649,1,0.66231,0.005512,0.005512,0.005512
70,1056.53,0.15333,0.74649,1,0.64205,0.005446,0.005446,0.005446
71,1071.71,0.16103,0.74883,1,0.74478,0.00538,0.00538,0.00538
72,1086.93,0.15175,0.74805,1,0.64302,0.005314,0.005314,0.005314
73,1102.11,0.14823,0.75039,1,0.68672,0.005248,0.005248,0.005248
74,1117.14,0.14487,0.74805,1,0.73322,0.005182,0.005182,0.005182
75,1132.46,0.13621,0.75273,1,0.68342,0.005116,0.005116,0.005116
76,1147.67,0.14518,0.75273,1,0.69029,0.00505,0.00505,0.00505
77,1162.98,0.13381,0.75117,1,0.70645,0.004984,0.004984,0.004984
78,1178.06,0.14214,0.75429,1,0.78778,0.004918,0.004918,0.004918
79,1193.3,0.14371,0.75195,1,0.69658,0.004852,0.004852,0.004852
80,1208.4,0.13432,0.74961,1,0.93013,0.004786,0.004786,0.004786
81,1223.59,0.1413,0.75039,1,0.70726,0.00472,0.00472,0.00472
82,1238.99,0.1262,0.75507,1,0.85915,0.004654,0.004654,0.004654
83,1254.43,0.1236,0.75507,1,0.71982,0.004588,0.004588,0.004588
84,1269.36,0.12208,0.75429,1,0.71204,0.004522,0.004522,0.004522
85,1284.53,0.12602,0.75585,1,0.81357,0.004456,0.004456,0.004456
86,1299.67,0.1301,0.75741,1,0.95228,0.00439,0.00439,0.00439
87,1314.94,0.12328,0.75663,1,0.7462,0.004324,0.004324,0.004324
88,1330.27,0.1218,0.75195,1,0.73078,0.004258,0.004258,0.004258
89,1345.64,0.12096,0.75273,1,0.72753,0.004192,0.004192,0.004192
90,1360.96,0.11244,0.75195,1,0.73049,0.004126,0.004126,0.004126
91,1376.03,0.11764,0.75273,1,0.79679,0.00406,0.00406,0.00406
92,1391.2,0.11468,0.75039,1,0.73089,0.003994,0.003994,0.003994
93,1406.41,0.10697,0.75429,1,0.75049,0.003928,0.003928,0.003928
94,1421.65,0.11025,0.75585,1,0.86475,0.003862,0.003862,0.003862
95,1437.29,0.10988,0.75507,1,0.73724,0.003796,0.003796,0.003796
96,1453.16,0.10609,0.75741,1,0.73491,0.00373,0.00373,0.00373
97,1468.64,0.10589,0.75663,1,1.0554,0.003664,0.003664,0.003664
98,1483.95,0.10247,0.75663,1,0.73745,0.003598,0.003598,0.003598
99,1499.08,0.1034,0.75819,1,0.8014,0.003532,0.003532,0.003532
100,1514.2,0.10219,0.75819,1,0.74857,0.003466,0.003466,0.003466
101,1529.37,0.09879,0.75897,1,0.80047,0.0034,0.0034,0.0034
102,1544.65,0.09334,0.75975,1,1.01762,0.003334,0.003334,0.003334
103,1559.91,0.08709,0.75819,1,0.74413,0.003268,0.003268,0.003268
104,1575.22,0.09756,0.75663,1,1.11998,0.003202,0.003202,0.003202
105,1590.86,0.08884,0.75429,1,0.8224,0.003136,0.003136,0.003136
106,1606.36,0.08799,0.75663,1,0.96156,0.00307,0.00307,0.00307
107,1621.41,0.08931,0.75663,1,0.98335,0.003004,0.003004,0.003004
108,1636.76,0.08352,0.75585,1,0.75431,0.002938,0.002938,0.002938
109,1651.9,0.08392,0.75897,1,1.34446,0.002872,0.002872,0.002872
110,1667.25,0.07796,0.75819,1,0.89804,0.002806,0.002806,0.002806
111,1682.61,0.08229,0.75819,1,0.75569,0.00274,0.00274,0.00274
112,1697.77,0.0783,0.75897,1,1.04297,0.002674,0.002674,0.002674
113,1713.19,0.07834,0.76053,1,0.75832,0.002608,0.002608,0.002608
114,1728.63,0.07332,0.76209,1,0.75957,0.002542,0.002542,0.002542
115,1743.86,0.07595,0.76131,1,0.76215,0.002476,0.002476,0.002476
116,1759.02,0.06977,0.76209,1,0.86004,0.00241,0.00241,0.00241
117,1774.46,0.07069,0.76053,1,0.8544,0.002344,0.002344,0.002344
118,1789.79,0.06763,0.75975,1,0.77004,0.002278,0.002278,0.002278
119,1805,0.06318,0.75975,1,0.77082,0.002212,0.002212,0.002212
120,1820.35,0.06502,0.76053,1,0.89529,0.002146,0.002146,0.002146
121,1835.93,0.06115,0.75897,1,0.77705,0.00208,0.00208,0.00208
