epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.19038,1.81133,0.77821,1,0.63656,0.00026672,0.00026672,0.00026672
2,13.6628,0.40938,0.7821,1,0.74422,0.000546479,0.000546479,0.000546479
3,17.1824,0.38555,0.74708,1,0.57409,0.000822498,0.000822498,0.000822498
4,20.5671,0.58894,0.5642,1,2.35664,0.00109478,0.00109478,0.00109478
5,23.7928,0.61453,0.71595,1,1.42904,0.00136331,0.00136331,0.00136331
6,27.124,0.53951,0.44747,1,nan,0.00161199,0.00161199,0.00161199
7,30.4146,0.49917,0.33463,1,nan,0.00160099,0.00160099,0.00160099
8,33.6646,0.53593,0.76265,1,0.48925,0.00158998,0.00158998,0.00158998
9,36.9312,0.55459,0.51362,1,nan,0.00157898,0.00157898,0.00157898
10,40.1955,0.55098,0.40856,1,nan,0.00156798,0.00156798,0.00156798
11,43.5239,0.54234,0.6537,1,nan,0.00155698,0.00155698,0.00155698
12,46.7868,0.54172,0.61479,1,nan,0.00154598,0.00154598,0.00154598
13,49.6979,0.55828,0.66926,1,nan,0.00153497,0.00153497,0.00153497
14,52.5102,0.51016,0.7393,1,0.65584,0.00152397,0.00152397,0.00152397
15,55.6982,0.5223,0.64202,1,nan,0.00151297,0.00151297,0.00151297
16,58.5233,0.71098,0.67704,1,nan,0.00150197,0.00150197,0.00150197
17,61.3726,0.79371,0.74319,1,0.47843,0.00149096,0.00149096,0.00149096
18,64.189,0.55804,0.5642,1,nan,0.00147996,0.00147996,0.00147996
19,67.0054,0.57664,0.66148,1,0.81755,0.00146896,0.00146896,0.00146896
20,69.853,0.5294,0.75486,1,0.47021,0.00145796,0.00145796,0.00145796
21,72.7157,0.75289,0.76265,1,0.50798,0.00144696,0.00144696,0.00144696
22,75.9179,0.73493,0.66148,1,0.60938,0.00143595,0.00143595,0.00143595
23,79.0022,0.67144,0.68872,1,nan,0.00142495,0.00142495,0.00142495
24,82.4606,0.52999,0.70817,1,nan,0.00141395,0.00141395,0.00141395
25,86.1026,0.52027,0.62646,1,nan,0.00140295,0.00140295,0.00140295
26,89.8796,0.50481,0.75097,1,nan,0.00139195,0.00139195,0.00139195
27,93.5495,0.69566,0.72374,1,0.35219,0.00138094,0.00138094,0.00138094
28,97.0062,0.5292,0.68872,1,0.38448,0.00136994,0.00136994,0.00136994
29,100.512,0.53125,0.72763,1,nan,0.00135894,0.00135894,0.00135894
30,103.871,0.76304,0.74319,1,nan,0.00134794,0.00134794,0.00134794
31,107.333,0.59939,0.73152,1,nan,0.00133693,0.00133693,0.00133693
32,111.08,0.52334,0.73541,1,0.46289,0.00132593,0.00132593,0.00132593
33,114.532,0.48627,0.67704,1,nan,0.00131493,0.00131493,0.00131493
34,117.787,0.49861,0.77821,1,0.31592,0.00130393,0.00130393,0.00130393
35,120.919,0.75658,0.75875,1,0.54272,0.00129293,0.00129293,0.00129293
36,124.097,0.53225,0.76654,1,0.54688,0.00128192,0.00128192,0.00128192
37,127.217,0.87877,0.74319,1,0.68034,0.00127092,0.00127092,0.00127092
38,130.42,0.62262,0.68872,1,0.58252,0.00125992,0.00125992,0.00125992
39,133.684,0.65652,0.70428,1,0.4694,0.00124892,0.00124892,0.00124892
40,137.146,0.5433,0.7393,1,0.55135,0.00123791,0.00123791,0.00123791
41,140.6,0.81583,0.77043,1,nan,0.00122691,0.00122691,0.00122691
