epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.7808,0.5823,0.74719,1,0.51442,0.00330484,0.00330484,0.00330484
2,26.5715,0.45663,0.68573,1,0.76273,0.00659436,0.00659436,0.00659436
3,39.462,0.44109,0.82469,1,0.43421,0.00983989,0.00983989,0.00983989
4,52.6494,0.53285,0.59059,1,0.95143,0.009802,0.009802,0.009802
5,64.7455,0.5305,0.79262,1,0.47896,0.009736,0.009736,0.009736
6,75.9782,0.42472,0.81828,1,0.42604,0.00967,0.00967,0.00967
7,86.8661,0.38413,0.71032,1,0.51844,0.009604,0.009604,0.009604
8,97.8472,0.34671,0.81668,1,0.40558,0.009538,0.009538,0.009538
9,108.909,0.32399,0.85997,1,0.34132,0.009472,0.009472,0.009472
10,119.971,0.31153,0.86585,1,0.31794,0.009406,0.009406,0.009406
11,131.07,0.30235,0.88081,1,0.29717,0.00934,0.00934,0.00934
12,142.248,0.28095,0.84447,1,0.36776,0.009274,0.009274,0.009274
13,153.42,0.26932,0.876,1,0.31892,0.009208,0.009208,0.009208
14,164.793,0.26267,0.86264,1,0.35723,0.009142,0.009142,0.009142
15,176.108,0.25229,0.89097,1,0.27631,0.009076,0.009076,0.009076
16,187.515,0.24287,0.72047,1,0.67808,0.00901,0.00901,0.00901
17,199.43,0.23241,0.89417,1,0.27716,0.008944,0.008944,0.008944
18,211.088,0.23519,0.83645,1,0.41099,0.008878,0.008878,0.008878
19,222.742,0.22393,0.87119,1,0.30054,0.008812,0.008812,0.008812
20,234.183,0.22012,0.90166,1,0.25723,0.008746,0.008746,0.008746
21,245.776,0.21068,0.85623,1,0.32993,0.00868,0.00868,0.00868
22,257.701,0.21182,0.90166,1,0.24073,0.008614,0.008614,0.008614
23,269.477,0.2021,0.82149,1,0.41426,0.008548,0.008548,0.008548
24,280.85,0.19471,0.8899,1,0.26538,0.008482,0.008482,0.008482
25,292.461,0.20182,0.90273,1,0.25484,0.008416,0.008416,0.008416
26,304.028,0.19815,0.86104,1,0.32828,0.00835,0.00835,0.00835
27,315.745,0.18321,0.90219,1,0.25216,0.008284,0.008284,0.008284
28,327.226,0.17822,0.90861,1,0.24299,0.008218,0.008218,0.008218
29,338.9,0.18767,0.91342,1,0.22622,0.008152,0.008152,0.008152
30,350.526,0.16993,0.82737,1,0.48885,0.008086,0.008086,0.008086
31,362.009,0.18429,0.907,1,0.2299,0.00802,0.00802,0.00802
32,373.939,0.17449,0.82843,1,0.39451,0.007954,0.007954,0.007954
33,385.561,0.16294,0.91074,1,0.24582,0.007888,0.007888,0.007888
34,397.142,0.1709,0.85035,1,0.3175,0.007822,0.007822,0.007822
35,408.35,0.1607,0.91288,1,0.246,0.007756,0.007756,0.007756
36,419.76,0.1603,0.91128,1,0.22844,0.00769,0.00769,0.00769
37,431.118,0.14916,0.8915,1,0.26562,0.007624,0.007624,0.007624
38,442.743,0.14876,0.80011,1,0.50542,0.007558,0.007558,0.007558
39,454.499,0.14975,0.91609,1,0.21418,0.007492,0.007492,0.007492
40,466.215,0.14777,0.89898,1,0.26398,0.007426,0.007426,0.007426
41,477.705,0.1365,0.90807,1,0.23767,0.00736,0.00736,0.00736
42,489.34,0.14498,0.92036,1,0.19554,0.007294,0.007294,0.007294
43,500.858,0.13932,0.91074,1,0.21408,0.007228,0.007228,0.007228
44,512.475,0.12784,0.91716,1,0.23338,0.007162,0.007162,0.007162
45,524.922,0.12817,0.92304,1,0.20946,0.007096,0.007096,0.007096
46,537.607,0.13788,0.92197,1,0.21772,0.00703,0.00703,0.00703
47,549.674,0.12106,0.92998,1,0.18271,0.006964,0.006964,0.006964
48,562.089,0.11686,0.92304,1,0.22177,0.006898,0.006898,0.006898
49,574.807,0.1162,0.93586,1,0.19818,0.006832,0.006832,0.006832
50,587.224,0.10689,0.92304,1,0.23142,0.006766,0.006766,0.006766
51,599.847,0.12149,0.92464,1,0.25044,0.0067,0.0067,0.0067
52,612.294,0.11678,0.92998,1,0.19701,0.006634,0.006634,0.006634
53,625.273,0.1062,0.92143,1,0.21298,0.006568,0.006568,0.006568
54,638.206,0.11402,0.92892,1,0.20806,0.006502,0.006502,0.006502
55,651.166,0.11341,0.93426,1,0.19689,0.006436,0.006436,0.006436
56,664.281,0.09476,0.93319,1,0.20612,0.00637,0.00637,0.00637
57,677.895,0.0966,0.93373,1,0.18249,0.006304,0.006304,0.006304
58,691.049,0.09061,0.92304,1,0.22418,0.006238,0.006238,0.006238
59,703.875,0.10315,0.92464,1,0.21477,0.006172,0.006172,0.006172
60,717.094,0.11022,0.93105,1,0.18823,0.006106,0.006106,0.006106
61,730.149,0.09799,0.94121,1,0.19419,0.00604,0.00604,0.00604
62,742.746,0.10214,0.93907,1,0.15951,0.005974,0.005974,0.005974
63,755.281,0.09565,0.94281,1,0.16683,0.005908,0.005908,0.005908
64,768.126,0.09389,0.94709,1,0.16702,0.005842,0.005842,0.005842
65,780.887,0.09665,0.93479,1,0.18706,0.005776,0.005776,0.005776
66,793.596,0.08811,0.93426,1,0.20085,0.00571,0.00571,0.00571
67,806.416,0.08808,0.94388,1,0.17375,0.005644,0.005644,0.005644
68,819.307,0.0805,0.94228,1,0.19291,0.005578,0.005578,0.005578
69,832.522,0.07868,0.93854,1,0.18188,0.005512,0.005512,0.005512
70,845.634,0.08232,0.94174,1,0.17104,0.005446,0.005446,0.005446
71,858.373,0.08426,0.94121,1,0.19526,0.00538,0.00538,0.00538
72,871.045,0.0797,0.94869,1,0.16974,0.005314,0.005314,0.005314
73,883.815,0.07234,0.94709,1,0.19799,0.005248,0.005248,0.005248
74,896.679,0.07776,0.93854,1,0.19927,0.005182,0.005182,0.005182
75,909.616,0.07389,0.93373,1,0.2045,0.005116,0.005116,0.005116
76,922.423,0.06967,0.93586,1,0.20007,0.00505,0.00505,0.00505
77,935.308,0.07539,0.94495,1,0.18897,0.004984,0.004984,0.004984
78,948.385,0.06614,0.94281,1,0.1904,0.004918,0.004918,0.004918
79,961.49,0.06742,0.94441,1,0.17258,0.004852,0.004852,0.004852
80,974.499,0.06965,0.94976,1,0.17327,0.004786,0.004786,0.004786
81,987.123,0.0703,0.9519,1,0.15894,0.00472,0.00472,0.00472
82,999.926,0.06629,0.95724,1,0.14991,0.004654,0.004654,0.004654
83,1012.68,0.06356,0.95404,1,0.14612,0.004588,0.004588,0.004588
84,1025.56,0.06093,0.95724,1,0.14338,0.004522,0.004522,0.004522
85,1038.45,0.05954,0.9551,1,0.15496,0.004456,0.004456,0.004456
86,1051.29,0.05673,0.9535,1,0.1491,0.00439,0.00439,0.00439
87,1064.13,0.06073,0.95564,1,0.1541,0.004324,0.004324,0.004324
88,1077.01,0.06476,0.95404,1,0.15193,0.004258,0.004258,0.004258
89,1090.05,0.06044,0.95243,1,0.15393,0.004192,0.004192,0.004192
90,1102.44,0.04439,0.95404,1,0.15621,0.004126,0.004126,0.004126
91,1115.08,0.05246,0.95029,1,0.16337,0.00406,0.00406,0.00406
92,1127.94,0.05274,0.95136,1,0.15659,0.003994,0.003994,0.003994
93,1139.5,0.05577,0.9519,1,0.15785,0.003928,0.003928,0.003928
94,1150.99,0.05125,0.94976,1,0.15829,0.003862,0.003862,0.003862
95,1162.26,0.04678,0.95029,1,0.16645,0.003796,0.003796,0.003796
96,1173.44,0.04411,0.95083,1,0.15682,0.00373,0.00373,0.00373
97,1184.88,0.04561,0.95029,1,0.14783,0.003664,0.003664,0.003664
98,1196.29,0.04251,0.95136,1,0.15266,0.003598,0.003598,0.003598
99,1207.68,0.04724,0.94816,1,0.16532,0.003532,0.003532,0.003532
100,1219.04,0.0492,0.95083,1,0.17035,0.003466,0.003466,0.003466
101,1230.31,0.03714,0.94976,1,0.17623,0.0034,0.0034,0.0034
102,1241.31,0.03639,0.9519,1,0.17369,0.003334,0.003334,0.003334
103,1252.55,0.03616,0.9535,1,0.17757,0.003268,0.003268,0.003268
104,1263.88,0.03952,0.9519,1,0.17762,0.003202,0.003202,0.003202
105,1275.14,0.04091,0.95243,1,0.17798,0.003136,0.003136,0.003136
106,1286.52,0.03901,0.9551,1,0.17127,0.00307,0.00307,0.00307
107,1297.81,0.0405,0.95457,1,0.17238,0.003004,0.003004,0.003004
108,1310.27,0.03592,0.95457,1,0.16711,0.002938,0.002938,0.002938
109,1322.24,0.03329,0.95564,1,0.162,0.002872,0.002872,0.002872
110,1334.79,0.0359,0.9551,1,0.16123,0.002806,0.002806,0.002806
111,1347.43,0.03325,0.95404,1,0.1698,0.00274,0.00274,0.00274
112,1360.2,0.03076,0.95617,1,0.1617,0.002674,0.002674,0.002674
113,1373.1,0.02915,0.9551,1,0.1582,0.002608,0.002608,0.002608
114,1386.05,0.02759,0.9551,1,0.15717,0.002542,0.002542,0.002542
115,1398.81,0.02667,0.95671,1,0.15919,0.002476,0.002476,0.002476
116,1411.64,0.02824,0.95564,1,0.1563,0.00241,0.00241,0.00241
117,1424.24,0.02887,0.95724,1,0.15205,0.002344,0.002344,0.002344
118,1436.64,0.02868,0.95991,1,0.15295,0.002278,0.002278,0.002278
119,1450.4,0.02229,0.95991,1,0.14735,0.002212,0.002212,0.002212
120,1463.37,0.02428,0.96045,1,0.14993,0.002146,0.002146,0.002146
121,1475.99,0.02845,0.96098,1,0.14747,0.00208,0.00208,0.00208
122,1488.77,0.02121,0.96205,1,0.15247,0.002014,0.002014,0.002014
123,1501.52,0.02568,0.96312,1,0.14945,0.001948,0.001948,0.001948
124,1514.45,0.02139,0.96312,1,0.14684,0.001882,0.001882,0.001882
125,1527.2,0.02695,0.96366,1,0.14862,0.001816,0.001816,0.001816
126,1539.94,0.02403,0.96366,1,0.14965,0.00175,0.00175,0.00175
127,1552.84,0.01963,0.96366,1,0.15544,0.001684,0.001684,0.001684
128,1565.79,0.01559,0.96259,1,0.14674,0.001618,0.001618,0.001618
129,1578.39,0.01863,0.96152,1,0.15195,0.001552,0.001552,0.001552
130,1590.88,0.01428,0.96312,1,0.15091,0.001486,0.001486,0.001486
131,1603.6,0.01542,0.96152,1,0.14858,0.00142,0.00142,0.00142
132,1616.59,0.01411,0.96205,1,0.14636,0.001354,0.001354,0.001354
133,1629.48,0.01627,0.96312,1,0.14972,0.001288,0.001288,0.001288
134,1642.24,0.0133,0.96312,1,0.14591,0.001222,0.001222,0.001222
135,1654.99,0.01732,0.96419,1,0.14835,0.001156,0.001156,0.001156
136,1667.85,0.01532,0.96419,1,0.14471,0.00109,0.00109,0.00109
137,1680.68,0.0127,0.96472,1,0.14465,0.001024,0.001024,0.001024
138,1693.5,0.01235,0.96526,1,0.14813,0.000958,0.000958,0.000958
139,1705.74,0.01428,0.96579,1,0.14349,0.000892,0.000892,0.000892
140,1718.05,0.01345,0.96633,1,0.14742,0.000826,0.000826,0.000826
141,1773.61,0.01064,0.96633,1,0.14644,0.00076,0.00076,0.00076
142,1786.42,0.01125,0.96686,1,0.1433,0.000694,0.000694,0.000694
143,1798.86,0.01601,0.96686,1,0.14288,0.000628,0.000628,0.000628
144,1811.45,0.01074,0.96686,1,0.14186,0.000562,0.000562,0.000562
145,1823.71,0.00976,0.96686,1,0.14098,0.000496,0.000496,0.000496
146,1836.1,0.01324,0.96686,1,0.1397,0.00043,0.00043,0.00043
147,1849.5,0.01079,0.96633,1,0.13941,0.000364,0.000364,0.000364
148,1861.39,0.01412,0.96633,1,0.14029,0.000298,0.000298,0.000298
149,1872.83,0.00995,0.96633,1,0.13891,0.000232,0.000232,0.000232
150,1884.49,0.00854,0.96633,1,0.14082,0.000166,0.000166,0.000166
