epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.5163,0.92575,0.51434,1,0.93443,0.00328829,0.00328829,0.00328829
2,24.4428,0.88484,0.50836,1,1.0174,0.0065954,0.0065954,0.0065954
3,35.053,0.90336,0.50179,1,1.03282,0.00987611,0.00987611,0.00987611
4,45.7057,0.90702,0.53047,1,0.92282,0.0098812,0.0098812,0.0098812
5,56.4549,0.84226,0.57407,1,0.90939,0.0098416,0.0098416,0.0098416
6,67.2188,0.80438,0.55257,1,1.06379,0.009802,0.009802,0.009802
7,77.9151,0.77378,0.56392,1,0.93698,0.0097624,0.0097624,0.0097624
8,88.6861,0.74835,0.58005,1,0.8954,0.0097228,0.0097228,0.0097228
9,99.5357,0.72554,0.6362,1,0.82181,0.0096832,0.0096832,0.0096832
10,110.389,0.68298,0.62724,1,0.88609,0.0096436,0.0096436,0.0096436
11,121.176,0.66259,0.57587,1,1.05291,0.009604,0.009604,0.009604
12,132.004,0.70881,0.62605,1,0.86246,0.0095644,0.0095644,0.0095644
13,142.774,0.62642,0.61888,1,0.90956,0.0095248,0.0095248,0.0095248
14,153.602,0.61646,0.63799,1,0.87992,0.0094852,0.0094852,0.0094852
15,164.523,0.58778,0.62485,1,0.93474,0.0094456,0.0094456,0.0094456
16,175.37,0.58381,0.63142,1,0.9247,0.009406,0.009406,0.009406
17,186.23,0.56895,0.63501,1,0.88468,0.0093664,0.0093664,0.0093664
18,197.177,0.53562,0.63321,1,1.03122,0.0093268,0.0093268,0.0093268
19,208.27,0.52293,0.63501,1,1.15273,0.0092872,0.0092872,0.0092872
20,219.392,0.50389,0.64875,1,1.16037,0.0092476,0.0092476,0.0092476
21,230.681,0.48658,0.61768,1,1.08475,0.009208,0.009208,0.009208
22,241.877,0.48195,0.61171,1,0.99487,0.0091684,0.0091684,0.0091684
23,253.047,0.44749,0.6129,1,0.97706,0.0091288,0.0091288,0.0091288
24,264.115,0.44186,0.64994,1,1.18433,0.0090892,0.0090892,0.0090892
25,275.279,0.42273,0.61171,1,1.09977,0.0090496,0.0090496,0.0090496
26,286.469,0.40274,0.65173,1,1.13096,0.00901,0.00901,0.00901
27,297.619,0.3984,0.64397,1,1.30824,0.0089704,0.0089704,0.0089704
28,308.676,0.38137,0.62127,1,1.1981,0.0089308,0.0089308,0.0089308
29,319.818,0.34799,0.63978,1,1.35983,0.0088912,0.0088912,0.0088912
