epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.73268,0.96319,0.45878,1,1.37479,0.000469896,0.000469896,0.000469896
2,15.5036,0.85267,0.51792,1,0.99934,0.000936862,0.000936862,0.000936862
3,21.1509,0.85957,0.49642,1,0.94985,0.0013944,0.0013944,0.0013944
4,26.8217,0.86008,0.50597,1,0.9224,0.00138656,0.00138656,0.00138656
5,32.4582,0.84174,0.53106,1,0.87207,0.00137241,0.00137241,0.00137241
6,38.5296,0.80842,0.55078,1,0.8652,0.00135826,0.00135826,0.00135826
7,44.2919,0.78645,0.4779,1,1.10027,0.00134412,0.00134412,0.00134412
8,49.935,0.77899,0.50777,1,0.97133,0.00132997,0.00132997,0.00132997
9,55.569,0.76386,0.54898,1,0.90011,0.00131582,0.00131582,0.00131582
10,61.0595,0.73872,0.56392,1,0.90541,0.00130168,0.00130168,0.00130168
11,66.8388,0.73109,0.51553,1,1.05392,0.00128753,0.00128753,0.00128753
12,74.0871,0.73103,0.51912,1,0.99093,0.00127338,0.00127338,0.00127338
13,79.9704,0.70766,0.54002,1,1.07579,0.00125923,0.00125923,0.00125923
14,85.599,0.70101,0.58005,1,0.84295,0.00124509,0.00124509,0.00124509
15,91.4636,0.69082,0.58065,1,0.915,0.00123094,0.00123094,0.00123094
16,97.3577,0.67864,0.57348,1,0.89059,0.00121679,0.00121679,0.00121679
17,103.254,0.67657,0.58244,1,0.91803,0.00120265,0.00120265,0.00120265
18,108.982,0.64306,0.5908,1,0.93206,0.0011885,0.0011885,0.0011885
19,114.746,0.66331,0.54002,1,0.93352,0.00117435,0.00117435,0.00117435
20,120.403,0.61852,0.56691,1,0.9985,0.00116021,0.00116021,0.00116021
21,126.432,0.61579,0.60155,1,0.95585,0.00114606,0.00114606,0.00114606
22,132.919,0.60178,0.60036,1,0.99529,0.00113191,0.00113191,0.00113191
23,139.297,0.58096,0.57168,1,0.95993,0.00111776,0.00111776,0.00111776
24,145.787,0.57734,0.61529,1,0.94782,0.00110362,0.00110362,0.00110362
25,151.549,0.57979,0.59916,1,0.95138,0.00108947,0.00108947,0.00108947
26,157.343,0.54771,0.592,1,0.99693,0.00107532,0.00107532,0.00107532
27,163.194,0.54031,0.53166,1,1.29255,0.00106118,0.00106118,0.00106118
28,169.054,0.53008,0.58184,1,1.00851,0.00104703,0.00104703,0.00104703
29,174.814,0.50578,0.57826,1,1.1107,0.00103288,0.00103288,0.00103288
30,180.537,0.5096,0.62485,1,0.98769,0.00101873,0.00101873,0.00101873
31,186.331,0.49122,0.61051,1,0.99369,0.00100459,0.00100459,0.00100459
32,192.313,0.46711,0.58542,1,1.05043,0.00099044,0.00099044,0.00099044
33,198.096,0.4759,0.59558,1,1.1092,0.000976293,0.000976293,0.000976293
34,203.876,0.46064,0.58483,1,1.11426,0.000962146,0.000962146,0.000962146
35,209.713,0.46454,0.58662,1,1.07282,0.000947999,0.000947999,0.000947999
36,215.519,0.43725,0.56332,1,1.2447,0.000933851,0.000933851,0.000933851
37,221.446,0.41431,0.58303,1,1.36869,0.000919704,0.000919704,0.000919704
38,227.206,0.4352,0.6141,1,1.03408,0.000905557,0.000905557,0.000905557
39,233.003,0.40596,0.60514,1,1.12919,0.00089141,0.00089141,0.00089141
40,238.726,0.39785,0.56272,1,1.30821,0.000877263,0.000877263,0.000877263
41,244.394,0.39816,0.59319,1,1.20853,0.000863116,0.000863116,0.000863116
42,250.336,0.3831,0.57288,1,1.28268,0.000848969,0.000848969,0.000848969
43,256.335,0.36863,0.58244,1,1.35003,0.000834822,0.000834822,0.000834822
