epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.0748,0.72128,0.52854,1,0.73145,0.00013336,0.00013336,0.00013336
2,42.7364,0.66072,0.57991,1,0.68652,0.000281987,0.000281987,0.000281987
3,46.2594,0.60413,0.59989,1,0.7168,0.000429129,0.000429129,0.000429129
4,49.8762,0.56702,0.62443,1,0.69165,0.000574786,0.000574786,0.000574786
5,53.6468,0.51809,0.65297,1,0.66455,0.000718957,0.000718957,0.000718957
6,57.3638,0.52371,0.6484,1,0.65869,0.000861643,0.000861643,0.000861643
7,61.1514,0.51726,0.65525,1,0.77148,0.00100284,0.00100284,0.00100284
8,65.012,0.53179,0.65183,1,0.74707,0.00114256,0.00114256,0.00114256
9,68.6154,0.49174,0.66838,1,0.71191,0.00128079,0.00128079,0.00128079
10,72.4913,0.52116,0.60902,1,0.83521,0.00141753,0.00141753,0.00141753
11,76.2736,0.49683,0.6621,1,0.84497,0.00155279,0.00155279,0.00155279
12,80.859,0.52107,0.59874,1,0.95874,0.00157623,0.00157623,0.00157623
13,85.815,0.49679,0.63584,1,0.91357,0.00156798,0.00156798,0.00156798
14,89.9506,0.50384,0.59932,1,1.06885,0.00155973,0.00155973,0.00155973
15,93.848,0.49371,0.66553,1,0.75098,0.00155148,0.00155148,0.00155148
16,98.8771,0.46189,0.66438,1,0.69507,0.00154323,0.00154323,0.00154323
17,103.804,0.44808,0.66267,1,0.67773,0.00153497,0.00153497,0.00153497
18,108.619,0.43503,0.6855,1,0.77002,0.00152672,0.00152672,0.00152672
19,113.232,0.43558,0.71404,1,0.61304,0.00151847,0.00151847,0.00151847
20,118.154,0.4214,0.73402,1,0.58105,0.00151022,0.00151022,0.00151022
21,123.115,0.41727,0.68893,1,0.64307,0.00150197,0.00150197,0.00150197
22,126.546,0.4325,0.73116,1,0.56226,0.00149372,0.00149372,0.00149372
23,131.81,0.39867,0.71347,1,0.68018,0.00148546,0.00148546,0.00148546
24,136.327,0.39019,0.73516,1,0.5835,0.00147721,0.00147721,0.00147721
25,141.279,0.36244,0.7266,1,0.66528,0.00146896,0.00146896,0.00146896
26,146.303,0.3538,0.74772,1,0.59399,0.00146071,0.00146071,0.00146071
27,151.329,0.34937,0.75171,1,0.5769,0.00145246,0.00145246,0.00145246
28,155.894,0.34927,0.74258,1,0.59082,0.00144421,0.00144421,0.00144421
29,160.935,0.33048,0.75114,1,0.6228,0.00143595,0.00143595,0.00143595
30,164.533,0.33353,0.72717,1,0.78247,0.0014277,0.0014277,0.0014277
31,169.2,0.37047,0.74829,1,0.53516,0.00141945,0.00141945,0.00141945
32,173.867,0.33362,0.74486,1,0.59155,0.0014112,0.0014112,0.0014112
33,178.528,0.32574,0.73174,1,0.70386,0.00140295,0.00140295,0.00140295
34,183.564,0.32204,0.76598,1,0.60107,0.0013947,0.0013947,0.0013947
35,188.457,0.28521,0.746,1,0.65771,0.00138644,0.00138644,0.00138644
36,193.447,0.30176,0.754,1,0.63281,0.00137819,0.00137819,0.00137819
37,198.038,0.27844,0.75685,1,0.59448,0.00136994,0.00136994,0.00136994
38,201.477,0.26802,0.75799,1,0.65454,0.00136169,0.00136169,0.00136169
39,206.427,0.27271,0.77968,1,0.58984,0.00135344,0.00135344,0.00135344
40,211.45,0.26947,0.74144,1,0.65796,0.00134519,0.00134519,0.00134519
41,215.917,0.29504,0.75342,1,0.69775,0.00133693,0.00133693,0.00133693
42,220.658,0.32444,0.7129,1,0.64209,0.00132868,0.00132868,0.00132868
43,225.541,0.28162,0.77169,1,0.58667,0.00132043,0.00132043,0.00132043
44,230.704,0.2651,0.76142,1,0.65698,0.00131218,0.00131218,0.00131218
45,235.566,0.26249,0.78425,1,0.57422,0.00130393,0.00130393,0.00130393
46,239.102,0.2595,0.79852,1,0.54761,0.00129568,0.00129568,0.00129568
47,244.171,0.29006,0.73231,1,0.71362,0.00128742,0.00128742,0.00128742
48,249.123,0.2562,0.7734,1,0.62231,0.00127917,0.00127917,0.00127917
49,254.335,0.25723,0.76484,1,0.67969,0.00127092,0.00127092,0.00127092
50,258.811,0.24731,0.77397,1,0.59229,0.00126267,0.00126267,0.00126267
51,263.93,0.24365,0.73687,1,0.72461,0.00125442,0.00125442,0.00125442
52,267.545,0.23245,0.74943,1,0.75659,0.00124617,0.00124617,0.00124617
53,272.598,0.22903,0.77797,1,0.62476,0.00123791,0.00123791,0.00123791
54,276.683,0.22768,0.78653,1,0.66504,0.00122966,0.00122966,0.00122966
55,281.488,0.21735,0.78253,1,0.65454,0.00122141,0.00122141,0.00122141
56,286.517,0.21394,0.7871,1,0.60083,0.00121316,0.00121316,0.00121316
