epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.3792,0.62408,0.5622,1,0.68848,3.334e-05,3.334e-05,3.334e-05
2,56.9531,0.5366,0.41851,1,0.78223,8.29374e-05,8.29374e-05,8.29374e-05
3,58.9851,0.41572,0.41659,1,0.78223,0.00013204,0.00013204,0.00013204
4,60.9774,0.35953,0.63452,1,0.63672,0.000180647,0.000180647,0.000180647
5,62.9795,0.34659,0.78496,1,0.48462,0.000228759,0.000228759,0.000228759
6,65.1398,0.32947,0.81389,1,0.43042,0.000276376,0.000276376,0.000276376
7,67.241,0.28667,0.85921,1,0.41602,0.000323498,0.000323498,0.000323498
8,69.4909,0.25376,0.86596,1,0.44971,0.000370125,0.000370125,0.000370125
9,71.7877,0.22058,0.87464,1,0.4939,0.000416257,0.000416257,0.000416257
10,73.9799,0.2046,0.87271,1,0.55273,0.000461893,0.000461893,0.000461893
11,75.9632,0.17522,0.8785,1,0.53076,0.000507035,0.000507035,0.000507035
12,78.025,0.14664,0.88139,1,0.45679,0.000551681,0.000551681,0.000551681
13,80.4611,0.1352,0.87271,1,0.43604,0.000595832,0.000595832,0.000595832
14,82.4392,0.10655,0.88139,1,0.4021,0.000639489,0.000639489,0.000639489
15,84.6123,0.10403,0.87657,1,0.39941,0.00068265,0.00068265,0.00068265
16,86.6015,0.08671,0.865,1,0.51807,0.000725316,0.000725316,0.000725316
17,88.6295,0.08057,0.88235,1,0.49048,0.000767487,0.000767487,0.000767487
18,90.8098,0.08574,0.88621,1,0.57764,0.000809163,0.000809163,0.000809163
19,93.0023,0.08505,0.89489,1,0.62207,0.000850343,0.000850343,0.000850343
20,95.1616,0.08735,0.88525,1,0.60645,0.000891029,0.000891029,0.000891029
21,97.3221,0.07222,0.865,1,0.57715,0.00093122,0.00093122,0.00093122
22,99.3426,0.07897,0.85728,1,0.79736,0.000970915,0.000970915,0.000970915
23,101.363,0.09539,0.8785,1,0.8457,0.00101012,0.00101012,0.00101012
24,103.448,0.09809,0.88332,1,0.78906,0.00104882,0.00104882,0.00104882
25,106.232,0.08782,0.87946,1,0.92139,0.00108703,0.00108703,0.00108703
26,108.315,0.06537,0.8891,1,0.79883,0.00112475,0.00112475,0.00112475
27,110.357,0.08407,0.89007,1,0.72754,0.00116197,0.00116197,0.00116197
28,112.566,0.07517,0.88139,1,0.67627,0.00119869,0.00119869,0.00119869
29,114.888,0.0741,0.89007,1,0.72217,0.00123492,0.00123492,0.00123492
30,121.074,0.07909,0.88621,1,0.82617,0.00127065,0.00127065,0.00127065
31,123.023,0.07965,0.89682,1,0.71045,0.00130589,0.00130589,0.00130589
32,125.094,0.09393,0.85246,1,0.69092,0.00134064,0.00134064,0.00134064
33,131.089,0.07769,0.88235,1,0.65674,0.00137489,0.00137489,0.00137489
34,133.018,0.09994,0.90067,1,0.47876,0.0013947,0.0013947,0.0013947
35,135.099,0.06747,0.85246,1,0.51758,0.00138644,0.00138644,0.00138644
36,137.553,0.08562,0.8756,1,0.54834,0.00137819,0.00137819,0.00137819
37,139.537,0.07179,0.86307,1,0.69873,0.00136994,0.00136994,0.00136994
38,144.783,0.09111,0.88428,1,0.44849,0.00136169,0.00136169,0.00136169
39,146.826,0.07835,0.89585,1,0.61914,0.00135344,0.00135344,0.00135344
40,148.777,0.08128,0.86403,1,0.60254,0.00134519,0.00134519,0.00134519
41,153.61,0.06472,0.83028,1,0.62646,0.00133693,0.00133693,0.00133693
42,155.584,0.07544,0.89392,1,0.48413,0.00132868,0.00132868,0.00132868
43,157.57,0.06063,0.90743,1,0.43945,0.00132043,0.00132043,0.00132043
44,159.651,0.05498,0.90935,1,0.43579,0.00131218,0.00131218,0.00131218
45,162.404,0.04364,0.91225,1,0.46875,0.00130393,0.00130393,0.00130393
46,167.537,0.05209,0.91225,1,0.49902,0.00129568,0.00129568,0.00129568
47,169.692,0.04051,0.91514,1,0.47803,0.00128742,0.00128742,0.00128742
48,172.051,0.05371,0.91032,1,0.46191,0.00127917,0.00127917,0.00127917
49,177.624,0.05846,0.91225,1,0.41235,0.00127092,0.00127092,0.00127092
50,179.538,0.05755,0.8891,1,0.45288,0.00126267,0.00126267,0.00126267
51,181.552,0.04725,0.865,1,0.54834,0.00125442,0.00125442,0.00125442
52,183.541,0.05151,0.85246,1,0.5957,0.00124617,0.00124617,0.00124617
53,185.488,0.05824,0.87078,1,0.52832,0.00123791,0.00123791,0.00123791
54,191.849,0.0535,0.88814,1,0.47607,0.00122966,0.00122966,0.00122966
55,193.772,0.05589,0.9026,1,0.44019,0.00122141,0.00122141,0.00122141
56,195.69,0.03893,0.89007,1,0.47437,0.00121316,0.00121316,0.00121316
57,201.244,0.0405,0.9055,1,0.39648,0.00120491,0.00120491,0.00120491
58,203.185,0.04152,0.91321,1,0.43457,0.00119666,0.00119666,0.00119666
59,205.112,0.03274,0.90646,1,0.43506,0.0011884,0.0011884,0.0011884
60,207.079,0.0327,0.90357,1,0.54443,0.00118015,0.00118015,0.00118015
61,209.022,0.02771,0.9055,1,0.56396,0.0011719,0.0011719,0.0011719
62,215.152,0.0286,0.91128,1,0.55322,0.00116365,0.00116365,0.00116365
63,217.081,0.03073,0.89971,1,0.51514,0.0011554,0.0011554,0.0011554
64,219.017,0.01904,0.9026,1,0.45435,0.00114715,0.00114715,0.00114715
65,223.779,0.02415,0.90839,1,0.40283,0.00113889,0.00113889,0.00113889
66,225.762,0.01937,0.91128,1,0.41504,0.00113064,0.00113064,0.00113064
67,227.823,0.02366,0.90935,1,0.45557,0.00112239,0.00112239,0.00112239
68,229.781,0.02005,0.9026,1,0.60449,0.00111414,0.00111414,0.00111414
69,231.728,0.03163,0.919,1,0.50342,0.00110589,0.00110589,0.00110589
70,237.741,0.01892,0.91321,1,0.45581,0.00109764,0.00109764,0.00109764
71,240.546,0.02706,0.92382,1,0.44556,0.00108938,0.00108938,0.00108938
72,242.672,0.02513,0.91032,1,0.5957,0.00108113,0.00108113,0.00108113
73,246.417,0.02814,0.90453,1,0.59473,0.00107288,0.00107288,0.00107288
74,248.395,0.02407,0.91514,1,0.52588,0.00106463,0.00106463,0.00106463
75,250.583,0.02157,0.90646,1,0.52881,0.00105638,0.00105638,0.00105638
76,252.604,0.02103,0.9026,1,0.53467,0.00104813,0.00104813,0.00104813
77,254.511,0.02383,0.91321,1,0.5166,0.00103987,0.00103987,0.00103987
78,260.653,0.02397,0.91032,1,0.51123,0.00103162,0.00103162,0.00103162
79,262.565,0.01652,0.91514,1,0.49097,0.00102337,0.00102337,0.00102337
80,264.52,0.01676,0.9161,1,0.53906,0.00101512,0.00101512,0.00101512
81,269.655,0.01895,0.91418,1,0.61035,0.00100687,0.00100687,0.00100687
82,271.587,0.01524,0.91225,1,0.67334,0.000998616,0.000998616,0.000998616
83,273.526,0.01256,0.91032,1,0.63574,0.000990365,0.000990365,0.000990365
84,275.658,0.01342,0.9055,1,0.57373,0.000982113,0.000982113,0.000982113
85,277.668,0.00989,0.90067,1,0.55322,0.000973861,0.000973861,0.000973861
86,283.609,0.00936,0.90357,1,0.56885,0.00096561,0.00096561,0.00096561
87,285.54,0.01105,0.91225,1,0.53809,0.000957358,0.000957358,0.000957358
88,287.467,0.01156,0.91225,1,0.54883,0.000949106,0.000949106,0.000949106
89,293.197,0.01328,0.92093,1,0.54736,0.000940855,0.000940855,0.000940855
90,295.222,0.01588,0.92093,1,0.49854,0.000932603,0.000932603,0.000932603
91,297.339,0.01764,0.90743,1,0.45996,0.000924352,0.000924352,0.000924352
92,299.329,0.0171,0.90743,1,0.5,0.0009161,0.0009161,0.0009161
93,301.271,0.01447,0.91032,1,0.53027,0.000907848,0.000907848,0.000907848
94,307.339,0.00867,0.91321,1,0.55176,0.000899597,0.000899597,0.000899597
