epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.0502,0.69795,0.61585,1,0.65259,0.00020004,0.00020004,0.00020004
2,22.2648,0.6143,0.65854,1,0.61719,0.000413999,0.000413999,0.000413999
3,29.0544,0.55057,0.62317,1,0.66479,0.000625098,0.000625098,0.000625098
4,35.8175,0.54307,0.62317,1,0.76465,0.000833337,0.000833337,0.000833337
5,42.5669,0.52294,0.60488,1,1.41748,0.00103871,0.00103871,0.00103871
6,49.371,0.52935,0.63659,1,0.7168,0.00124123,0.00124123,0.00124123
7,56.1246,0.56159,0.6061,1,0.88623,0.00144089,0.00144089,0.00144089
8,62.8877,0.52411,0.6561,1,0.78125,0.00158998,0.00158998,0.00158998
9,69.6831,0.51418,0.66951,1,0.66602,0.00157898,0.00157898,0.00157898
10,76.5409,0.5302,0.68415,1,0.69189,0.00156798,0.00156798,0.00156798
11,83.4191,0.50371,0.67195,1,0.92334,0.00155698,0.00155698,0.00155698
12,90.2267,0.4768,0.65976,1,0.72021,0.00154598,0.00154598,0.00154598
13,97.0398,0.42732,0.71098,1,0.64087,0.00153497,0.00153497,0.00153497
14,103.947,0.43417,0.72317,1,0.59302,0.00152397,0.00152397,0.00152397
15,110.864,0.41463,0.72683,1,0.63037,0.00151297,0.00151297,0.00151297
16,117.759,0.37912,0.76585,1,0.48413,0.00150197,0.00150197,0.00150197
17,124.669,0.37821,0.77073,1,0.56641,0.00149096,0.00149096,0.00149096
18,131.643,0.39071,0.72927,1,0.54932,0.00147996,0.00147996,0.00147996
19,138.503,0.3736,0.72195,1,0.69604,0.00146896,0.00146896,0.00146896
20,145.353,0.34711,0.79024,1,0.46411,0.00145796,0.00145796,0.00145796
21,152.279,0.33908,0.75122,1,0.56177,0.00144696,0.00144696,0.00144696
22,159.09,0.31348,0.73049,1,0.625,0.00143595,0.00143595,0.00143595
23,165.948,0.31803,0.71707,1,0.72803,0.00142495,0.00142495,0.00142495
24,172.745,0.30756,0.7561,1,0.57007,0.00141395,0.00141395,0.00141395
25,179.576,0.29574,0.74634,1,0.65186,0.00140295,0.00140295,0.00140295
26,186.404,0.29003,0.72561,1,0.96826,0.00139195,0.00139195,0.00139195
27,193.221,0.28736,0.77317,1,0.60229,0.00138094,0.00138094,0.00138094
28,200.053,0.2779,0.76098,1,0.56934,0.00136994,0.00136994,0.00136994
29,206.87,0.27194,0.77805,1,0.61133,0.00135894,0.00135894,0.00135894
30,213.731,0.26725,0.83293,1,0.40894,0.00134794,0.00134794,0.00134794
31,220.63,0.24574,0.82195,1,0.45459,0.00133693,0.00133693,0.00133693
32,227.445,0.23989,0.78049,1,0.5166,0.00132593,0.00132593,0.00132593
33,234.263,0.21541,0.79878,1,0.51343,0.00131493,0.00131493,0.00131493
34,241.121,0.24131,0.7561,1,0.5918,0.00130393,0.00130393,0.00130393
35,247.959,0.22919,0.76951,1,0.59839,0.00129293,0.00129293,0.00129293
36,254.761,0.21956,0.7878,1,0.53174,0.00128192,0.00128192,0.00128192
37,261.575,0.2154,0.80732,1,0.49854,0.00127092,0.00127092,0.00127092
38,268.393,0.18542,0.8,1,0.55518,0.00125992,0.00125992,0.00125992
39,275.217,0.20068,0.78902,1,0.63672,0.00124892,0.00124892,0.00124892
40,282.044,0.19078,0.79634,1,0.51416,0.00123791,0.00123791,0.00123791
41,288.869,0.19222,0.7878,1,0.57568,0.00122691,0.00122691,0.00122691
42,295.732,0.1842,0.81585,1,0.56714,0.00121591,0.00121591,0.00121591
43,302.598,0.18224,0.7939,1,0.53247,0.00120491,0.00120491,0.00120491
44,309.44,0.16818,0.84512,1,0.50159,0.00119391,0.00119391,0.00119391
45,316.337,0.16725,0.80732,1,0.56152,0.0011829,0.0011829,0.0011829
46,323.154,0.1649,0.83415,1,0.48999,0.0011719,0.0011719,0.0011719
47,329.989,0.13867,0.82683,1,0.55518,0.0011609,0.0011609,0.0011609
48,336.799,0.14751,0.83293,1,0.52026,0.0011499,0.0011499,0.0011499
49,343.619,0.15843,0.78293,1,0.68066,0.00113889,0.00113889,0.00113889
50,350.442,0.15568,0.82317,1,0.48926,0.00112789,0.00112789,0.00112789
51,357.247,0.13804,0.80366,1,0.54688,0.00111689,0.00111689,0.00111689
52,364.064,0.13098,0.79512,1,0.55762,0.00110589,0.00110589,0.00110589
53,370.92,0.12148,0.83171,1,0.47827,0.00109489,0.00109489,0.00109489
54,377.721,0.13482,0.79756,1,0.6123,0.00108388,0.00108388,0.00108388
55,384.538,0.12671,0.84634,1,0.49683,0.00107288,0.00107288,0.00107288
56,391.436,0.12815,0.83537,1,0.495,0.00106188,0.00106188,0.00106188
57,398.267,0.11798,0.82805,1,0.54932,0.00105088,0.00105088,0.00105088
58,405.103,0.12506,0.82927,1,0.56348,0.00103987,0.00103987,0.00103987
59,411.967,0.1177,0.82683,1,0.56006,0.00102887,0.00102887,0.00102887
60,418.783,0.12081,0.85366,1,0.43494,0.00101787,0.00101787,0.00101787
61,425.679,0.10625,0.8061,1,0.64355,0.00100687,0.00100687,0.00100687
62,432.5,0.11112,0.84268,1,0.48108,0.000995866,0.000995866,0.000995866
63,439.35,0.09746,0.8122,1,0.57495,0.000984864,0.000984864,0.000984864
64,446.177,0.09324,0.84024,1,0.4845,0.000973861,0.000973861,0.000973861
65,453.014,0.10465,0.83293,1,0.60864,0.000962859,0.000962859,0.000962859
66,459.846,0.10734,0.85122,1,0.54419,0.000951857,0.000951857,0.000951857
67,466.673,0.10192,0.82927,1,0.5083,0.000940855,0.000940855,0.000940855
