epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.4392,0.52453,0.35728,1,0.85693,0.00013336,0.00013336,0.00013336
2,19.3753,0.3498,0.87573,1,0.37427,0.00028152,0.00028152,0.00028152
3,23.9668,0.32354,0.8835,1,0.34351,0.000427699,0.000427699,0.000427699
4,28.6043,0.27683,0.88155,1,0.44873,0.000571898,0.000571898,0.000571898
5,33.2364,0.26892,0.88738,1,0.42603,0.000714116,0.000714116,0.000714116
6,37.8788,0.29405,0.88544,1,0.49341,0.000854354,0.000854354,0.000854354
7,42.4025,0.29646,0.8835,1,0.68945,0.000992612,0.000992612,0.000992612
8,46.9565,0.27781,0.86408,1,0.41602,0.00112889,0.00112889,0.00112889
9,51.4604,0.28329,0.86408,1,0.3667,0.00126319,0.00126319,0.00126319
10,56.0492,0.30839,0.83495,1,0.55811,0.0013955,0.0013955,0.0013955
11,60.6033,0.4075,0.87573,1,4.0625,0.00152584,0.00152584,0.00152584
12,65.1557,0.4599,0.88155,1,0.61377,0.00154598,0.00154598,0.00154598
13,69.7376,0.35562,0.88155,1,0.5918,0.00153497,0.00153497,0.00153497
14,74.2842,0.33881,0.88155,1,0.43799,0.00152397,0.00152397,0.00152397
15,78.8679,0.36093,0.84272,1,0.41675,0.00151297,0.00151297,0.00151297
16,83.4522,0.34114,0.88155,1,0.46094,0.00150197,0.00150197,0.00150197
17,88.0563,0.3541,0.88155,1,0.43311,0.00149096,0.00149096,0.00149096
18,92.7264,0.34257,0.88155,1,0.36523,0.00147996,0.00147996,0.00147996
19,97.3393,0.31596,0.8835,1,0.37622,0.00146896,0.00146896,0.00146896
20,101.951,0.30858,0.88155,1,0.3645,0.00145796,0.00145796,0.00145796
21,106.592,0.32558,0.74175,1,0.5874,0.00144696,0.00144696,0.00144696
22,111.211,0.34597,0.87573,1,0.54492,0.00143595,0.00143595,0.00143595
23,115.821,0.32973,0.71262,1,0.77539,0.00142495,0.00142495,0.00142495
24,120.399,0.3419,0.88155,1,0.35474,0.00141395,0.00141395,0.00141395
25,124.967,0.34992,0.88155,1,0.36914,0.00140295,0.00140295,0.00140295
26,129.496,0.32239,0.8835,1,0.50879,0.00139195,0.00139195,0.00139195
27,134.069,0.32126,0.77864,1,0.479,0.00138094,0.00138094,0.00138094
28,138.809,0.34681,0.85437,1,0.3833,0.00136994,0.00136994,0.00136994
29,143.37,0.33773,0.85049,1,0.40698,0.00135894,0.00135894,0.00135894
30,147.931,0.39229,0.76311,1,0.56885,0.00134794,0.00134794,0.00134794
31,152.499,0.33629,0.88155,1,0.36401,0.00133693,0.00133693,0.00133693
32,157.05,0.34217,0.75534,1,0.51904,0.00132593,0.00132593,0.00132593
33,161.607,0.31953,0.88155,1,0.36792,0.00131493,0.00131493,0.00131493
34,166.167,0.32224,0.88155,1,1.15332,0.00130393,0.00130393,0.00130393
35,170.74,0.33983,0.8835,1,0.39795,0.00129293,0.00129293,0.00129293
36,175.287,0.34054,0.87961,1,0.37451,0.00128192,0.00128192,0.00128192
37,179.851,0.3617,0.88155,1,0.35669,0.00127092,0.00127092,0.00127092
38,184.442,0.34074,0.88155,1,0.35303,0.00125992,0.00125992,0.00125992
39,188.99,0.32219,0.88155,1,0.36035,0.00124892,0.00124892,0.00124892
40,193.587,0.33865,0.88155,1,0.36499,0.00123791,0.00123791,0.00123791
41,198.161,0.30717,0.88155,1,0.33472,0.00122691,0.00122691,0.00122691
42,202.754,0.28685,0.88155,1,0.33105,0.00121591,0.00121591,0.00121591
43,207.348,0.31971,0.88155,1,0.33789,0.00120491,0.00120491,0.00120491
44,211.907,0.30673,0.87767,1,0.3457,0.00119391,0.00119391,0.00119391
