epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.2566,0.61936,0.58596,1,0.66797,3.334e-05,3.334e-05,3.334e-05
2,52.8878,0.54555,0.47813,1,0.73535,8.29374e-05,8.29374e-05,8.29374e-05
3,54.847,0.43032,0.59715,1,0.66357,0.00013204,0.00013204,0.00013204
4,56.9348,0.40485,0.80671,1,0.47925,0.000180647,0.000180647,0.000180647
5,59.1764,0.36153,0.85758,1,0.40869,0.000228759,0.000228759,0.000228759
6,61.4274,0.36344,0.86165,1,0.42969,0.000276376,0.000276376,0.000276376
7,63.6324,0.29172,0.86572,1,0.4292,0.000323498,0.000323498,0.000323498
8,65.9066,0.29258,0.8647,1,0.43115,0.000370125,0.000370125,0.000370125
9,68.0872,0.27807,0.86572,1,0.43311,0.000416257,0.000416257,0.000416257
10,70.4576,0.25764,0.86979,1,0.39648,0.000461893,0.000461893,0.000461893
11,72.8277,0.22718,0.86877,1,0.38477,0.000507035,0.000507035,0.000507035
12,75.275,0.1867,0.82401,1,0.39868,0.000551681,0.000551681,0.000551681
13,77.5311,0.21099,0.84334,1,0.47095,0.000595832,0.000595832,0.000595832
14,79.6791,0.16965,0.85249,1,0.48804,0.000639489,0.000639489,0.000639489
15,81.8277,0.15393,0.82401,1,0.45996,0.00068265,0.00068265,0.00068265
16,84.3031,0.15012,0.85554,1,0.37061,0.000725316,0.000725316,0.000725316
17,86.7689,0.13469,0.8708,1,0.41357,0.000767487,0.000767487,0.000767487
18,89.1519,0.11938,0.87894,1,0.43579,0.000809163,0.000809163,0.000809163
19,91.4321,0.10674,0.87792,1,0.52393,0.000850343,0.000850343,0.000850343
20,93.7305,0.09918,0.8708,1,0.55225,0.000891029,0.000891029,0.000891029
21,96.0742,0.12337,0.85351,1,0.5625,0.00093122,0.00093122,0.00093122
22,98.3311,0.12464,0.88199,1,0.58545,0.000970915,0.000970915,0.000970915
23,100.735,0.12602,0.87792,1,0.62695,0.00101012,0.00101012,0.00101012
24,102.923,0.12753,0.87487,1,0.79395,0.00104882,0.00104882,0.00104882
25,105.204,0.15481,0.87691,1,0.87402,0.00108703,0.00108703,0.00108703
26,107.491,0.12497,0.87284,1,0.79395,0.00112475,0.00112475,0.00112475
27,109.752,0.1455,0.87792,1,0.63379,0.00116197,0.00116197,0.00116197
28,111.97,0.13882,0.78942,1,0.76221,0.00119869,0.00119869,0.00119869
29,114.166,0.14897,0.83113,1,0.55957,0.00123492,0.00123492,0.00123492
30,116.503,0.13621,0.88199,1,0.71387,0.00127065,0.00127065,0.00127065
31,118.828,0.13864,0.75585,1,0.86475,0.00130589,0.00130589,0.00130589
32,121.09,0.13745,0.84741,1,0.63818,0.00134064,0.00134064,0.00134064
33,123.241,0.13647,0.87487,1,0.74854,0.00137489,0.00137489,0.00137489
