epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.643,0.57874,0.57845,1,0.66748,0.00010002,0.00010002,0.00010002
2,13.1732,0.40625,0.85246,1,0.4231,0.00021528,0.00021528,0.00021528
3,17.2073,0.36745,0.84778,1,0.39355,0.000328999,0.000328999,0.000328999
4,21.1323,0.29404,0.86183,1,0.36426,0.000441178,0.000441178,0.000441178
5,25.1211,0.25322,0.87119,1,0.33691,0.000551817,0.000551817,0.000551817
6,29.1413,0.18222,0.87822,1,0.30615,0.000660915,0.000660915,0.000660915
7,33.1675,0.15041,0.88056,1,0.36279,0.000768474,0.000768474,0.000768474
8,37.1629,0.17953,0.86417,1,0.84619,0.000874492,0.000874492,0.000874492
9,41.0741,0.21123,0.85714,1,1.17285,0.000978969,0.000978969,0.000978969
10,44.9734,0.22833,0.86183,1,1.35547,0.00108191,0.00108191,0.00108191
11,48.8965,0.22994,0.87354,1,0.69971,0.0011833,0.0011833,0.0011833
12,52.8255,0.22694,0.89227,1,0.53467,0.00128316,0.00128316,0.00128316
13,56.7871,0.21149,0.86417,1,0.44189,0.00138148,0.00138148,0.00138148
14,60.6718,0.21497,0.85012,1,0.47119,0.00147825,0.00147825,0.00147825
15,64.5924,0.19172,0.61124,1,0.91748,0.00151297,0.00151297,0.00151297
16,68.4636,0.17932,0.83372,1,0.6084,0.00150197,0.00150197,0.00150197
17,72.3405,0.19346,0.84778,1,0.56055,0.00149096,0.00149096,0.00149096
18,76.2336,0.17515,0.77986,1,0.55127,0.00147996,0.00147996,0.00147996
19,80.121,0.14936,0.85012,1,0.42603,0.00146896,0.00146896,0.00146896
20,84.0041,0.18258,0.86885,1,0.86328,0.00145796,0.00145796,0.00145796
21,87.9059,0.14088,0.90398,1,0.37231,0.00144696,0.00144696,0.00144696
22,91.8735,0.15053,0.88056,1,0.32251,0.00143595,0.00143595,0.00143595
23,95.7745,0.14831,0.85246,1,0.47314,0.00142495,0.00142495,0.00142495
24,99.712,0.13918,0.8103,1,0.59619,0.00141395,0.00141395,0.00141395
25,103.657,0.11715,0.88993,1,0.33203,0.00140295,0.00140295,0.00140295
26,107.572,0.11412,0.88056,1,0.43652,0.00139195,0.00139195,0.00139195
27,111.499,0.1228,0.88056,1,0.42993,0.00138094,0.00138094,0.00138094
28,115.419,0.10149,0.8829,1,0.35645,0.00136994,0.00136994,0.00136994
29,119.317,0.10525,0.8993,1,0.27002,0.00135894,0.00135894,0.00135894
30,123.26,0.08987,0.90164,1,0.40308,0.00134794,0.00134794,0.00134794
31,127.178,0.08585,0.90867,1,0.38574,0.00133693,0.00133693,0.00133693
32,131.156,0.07978,0.86885,1,0.39038,0.00132593,0.00132593,0.00132593
33,135.066,0.07253,0.88993,1,0.4397,0.00131493,0.00131493,0.00131493
34,138.96,0.0985,0.90867,1,0.36084,0.00130393,0.00130393,0.00130393
35,142.929,0.07429,0.89696,1,0.43677,0.00129293,0.00129293,0.00129293
36,146.835,0.08755,0.88759,1,0.47339,0.00128192,0.00128192,0.00128192
37,150.719,0.08229,0.91335,1,0.40527,0.00127092,0.00127092,0.00127092
38,154.691,0.05812,0.8993,1,0.43237,0.00125992,0.00125992,0.00125992
39,158.62,0.06334,0.90398,1,0.39502,0.00124892,0.00124892,0.00124892
40,162.534,0.07678,0.92506,1,0.31152,0.00123791,0.00123791,0.00123791
41,166.501,0.05605,0.90867,1,0.38257,0.00122691,0.00122691,0.00122691
42,170.423,0.065,0.91803,1,0.29004,0.00121591,0.00121591,0.00121591
43,174.331,0.05975,0.90632,1,0.26367,0.00120491,0.00120491,0.00120491
44,178.226,0.05477,0.92272,1,0.2207,0.00119391,0.00119391,0.00119391
45,182.125,0.04431,0.91803,1,0.26953,0.0011829,0.0011829,0.0011829
46,186.015,0.03882,0.94145,1,0.26123,0.0011719,0.0011719,0.0011719
47,190.004,0.03956,0.93677,1,0.29761,0.0011609,0.0011609,0.0011609
48,193.932,0.0475,0.94145,1,0.4248,0.0011499,0.0011499,0.0011499
49,197.913,0.03903,0.90164,1,0.4043,0.00113889,0.00113889,0.00113889
50,201.821,0.05231,0.90867,1,0.41016,0.00112789,0.00112789,0.00112789
51,205.759,0.04644,0.92272,1,0.34106,0.00111689,0.00111689,0.00111689
52,209.661,0.03838,0.92272,1,0.29517,0.00110589,0.00110589,0.00110589
53,213.562,0.04631,0.92506,1,0.25781,0.00109489,0.00109489,0.00109489
54,217.462,0.03802,0.92272,1,0.39453,0.00108388,0.00108388,0.00108388
55,221.358,0.02568,0.90632,1,0.38281,0.00107288,0.00107288,0.00107288
56,225.255,0.04039,0.92506,1,0.34814,0.00106188,0.00106188,0.00106188
57,229.152,0.02764,0.8993,1,0.40845,0.00105088,0.00105088,0.00105088
58,233.035,0.03744,0.91101,1,0.32129,0.00103987,0.00103987,0.00103987
59,236.94,0.0321,0.90164,1,0.39014,0.00102887,0.00102887,0.00102887
60,240.853,0.04482,0.89696,1,0.3269,0.00101787,0.00101787,0.00101787
