epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.77716,1.02999,0.44017,1,1.45044,0.00041441,0.00041441,0.00041441
2,4.70413,0.87465,0.55556,1,0.92334,0.000822243,0.000822243,0.000822243
3,6.26647,0.84627,0.50427,1,0.94312,0.00120886,0.00120886,0.00120886
4,7.84202,0.8469,0.5812,1,0.93835,0.0013229,0.0013229,0.0013229
5,9.45403,0.86485,0.53419,1,1.30933,0.00128753,0.00128753,0.00128753
6,10.9251,0.84663,0.5812,1,1.00195,0.00125216,0.00125216,0.00125216
7,12.458,0.80407,0.58547,1,0.92676,0.00121679,0.00121679,0.00121679
8,14.1927,0.81116,0.5812,1,0.95715,0.00118143,0.00118143,0.00118143
9,15.8473,0.80086,0.63248,1,0.87451,0.00114606,0.00114606,0.00114606
10,17.5831,0.68564,0.44444,1,1.10889,0.00111069,0.00111069,0.00111069
11,19.2977,0.68513,0.66667,1,0.89832,0.00107532,0.00107532,0.00107532
12,20.9213,0.67945,0.61111,1,0.83899,0.00103995,0.00103995,0.00103995
13,22.5947,0.6401,0.63248,1,0.9093,0.00100459,0.00100459,0.00100459
14,24.7828,0.56851,0.61966,1,0.99683,0.000969219,0.000969219,0.000969219
15,26.4946,0.57505,0.58974,1,1.00403,0.000933851,0.000933851,0.000933851
16,28.25,0.57088,0.64103,1,0.95557,0.000898484,0.000898484,0.000898484
17,29.8871,0.53496,0.60684,1,1.04736,0.000863116,0.000863116,0.000863116
18,31.5644,0.49707,0.66667,1,0.95605,0.000827748,0.000827748,0.000827748
19,33.2102,0.45867,0.65385,1,0.97522,0.00079238,0.00079238,0.00079238
20,34.9065,0.41977,0.62821,1,0.92371,0.000757013,0.000757013,0.000757013
21,36.5749,0.40812,0.62393,1,0.96191,0.000721645,0.000721645,0.000721645
22,38.2077,0.45829,0.61111,1,0.97913,0.000686277,0.000686277,0.000686277
23,39.8113,0.38433,0.63248,1,1.02075,0.000650909,0.000650909,0.000650909
24,41.3834,0.36192,0.62821,1,0.99792,0.000615542,0.000615542,0.000615542
25,43.0113,0.35876,0.68376,1,0.98743,0.000580174,0.000580174,0.000580174
26,44.5926,0.33205,0.63675,1,1.17981,0.000544806,0.000544806,0.000544806
27,46.188,0.28641,0.6453,1,1.09692,0.000509438,0.000509438,0.000509438
28,47.8142,0.2758,0.67094,1,0.95752,0.000474071,0.000474071,0.000474071
29,49.4194,0.28056,0.6453,1,1.16199,0.000438703,0.000438703,0.000438703
30,50.9993,0.25615,0.69231,1,1.0061,0.000403335,0.000403335,0.000403335
31,78.3647,0.23345,0.69231,1,1.02905,0.000367967,0.000367967,0.000367967
32,79.9573,0.22712,0.66667,1,1.02136,0.0003326,0.0003326,0.0003326
33,81.6431,0.24728,0.65385,1,0.97302,0.000297232,0.000297232,0.000297232
34,83.2125,0.20681,0.65812,1,1.09338,0.000261864,0.000261864,0.000261864
35,84.86,0.23355,0.68803,1,1.03345,0.000226497,0.000226497,0.000226497
36,86.5091,0.16544,0.69231,1,0.99768,0.000191129,0.000191129,0.000191129
37,88.0601,0.19771,0.70085,1,1.05029,0.000155761,0.000155761,0.000155761
38,89.688,0.12839,0.69231,1,1.05115,0.000120393,0.000120393,0.000120393
39,91.243,0.16845,0.73077,1,1.04578,8.50255e-05,8.50255e-05,8.50255e-05
40,92.8142,0.16259,0.7094,1,1.03479,4.96578e-05,4.96578e-05,4.96578e-05
