epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.69946,0.93789,0.58456,1,0.88337,0.000472042,0.000472042,0.000472042
2,18.05,0.89408,0.5857,1,0.93513,0.000938986,0.000938986,0.000938986
3,23.6455,0.88458,0.56413,1,0.90133,0.0013965,0.0013965,0.0013965
4,29.3143,0.87867,0.59024,1,0.88145,0.00138656,0.00138656,0.00138656
5,35.4272,0.85233,0.57548,1,0.87538,0.00137241,0.00137241,0.00137241
6,41.4069,0.83963,0.5891,1,0.87873,0.00135826,0.00135826,0.00135826
7,47.0291,0.83854,0.57889,1,0.90057,0.00134412,0.00134412,0.00134412
8,52.6863,0.80341,0.60726,1,0.81801,0.00132997,0.00132997,0.00132997
9,58.9874,0.79744,0.59591,1,0.84895,0.00131582,0.00131582,0.00131582
10,65.482,0.77272,0.63678,1,0.77891,0.00130168,0.00130168,0.00130168
11,71.506,0.76362,0.63337,1,0.80737,0.00128753,0.00128753,0.00128753
12,77.4763,0.76583,0.63451,1,0.7794,0.00127338,0.00127338,0.00127338
13,83.4969,0.74977,0.59591,1,1.01629,0.00125923,0.00125923,0.00125923
14,89.5874,0.76608,0.65153,1,0.73343,0.00124509,0.00124509,0.00124509
15,95.6267,0.74147,0.62883,1,0.76838,0.00123094,0.00123094,0.00123094
16,101.557,0.741,0.65494,1,0.81072,0.00121679,0.00121679,0.00121679
17,107.476,0.70607,0.64472,1,0.76583,0.00120265,0.00120265,0.00120265
18,113.562,0.71511,0.65267,1,0.76231,0.0011885,0.0011885,0.0011885
19,119.6,0.69118,0.65267,1,0.74819,0.00117435,0.00117435,0.00117435
20,125.757,0.69633,0.69012,1,0.71191,0.00116021,0.00116021,0.00116021
21,131.911,0.67186,0.65948,1,0.72056,0.00114606,0.00114606,0.00114606
22,138.044,0.66332,0.68899,1,0.69263,0.00113191,0.00113191,0.00113191
23,144.177,0.67008,0.65948,1,0.73218,0.00111776,0.00111776,0.00111776
24,150.479,0.65182,0.69807,1,0.70647,0.00110362,0.00110362,0.00110362
25,156.646,0.64048,0.6504,1,0.79035,0.00108947,0.00108947,0.00108947
26,162.652,0.64029,0.6958,1,0.71887,0.00107532,0.00107532,0.00107532
27,168.598,0.64274,0.69353,1,0.70442,0.00106118,0.00106118,0.00106118
28,174.646,0.60967,0.71169,1,0.67271,0.00104703,0.00104703,0.00104703
29,180.937,0.6056,0.68672,1,0.73298,0.00103288,0.00103288,0.00103288
30,187.119,0.59933,0.70375,1,0.69503,0.00101873,0.00101873,0.00101873
31,193.21,0.59384,0.71283,1,0.6627,0.00100459,0.00100459,0.00100459
32,199.235,0.57806,0.73326,1,0.64877,0.00099044,0.00099044,0.00099044
33,205.245,0.56397,0.71396,1,0.68872,0.000976293,0.000976293,0.000976293
34,211.394,0.55963,0.67083,1,0.73099,0.000962146,0.000962146,0.000962146
35,217.64,0.56956,0.72304,1,0.65004,0.000947999,0.000947999,0.000947999
