epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.41079,0.94705,0.60386,1,0.8344,0.000472227,0.000472227,0.000472227
2,15.7959,0.88534,0.51759,1,0.90353,0.00093917,0.00093917,0.00093917
3,21.8151,0.89269,0.52667,1,1.0151,0.00139668,0.00139668,0.00139668
4,27.5732,0.88343,0.53575,1,0.88236,0.00138656,0.00138656,0.00138656
5,33.3006,0.86764,0.5891,1,0.83057,0.00137241,0.00137241,0.00137241
6,39.036,0.84415,0.57208,1,0.82561,0.00135826,0.00135826,0.00135826
7,44.816,0.85354,0.60159,1,0.82104,0.00134412,0.00134412,0.00134412
8,50.7456,0.82446,0.62089,1,0.79611,0.00132997,0.00132997,0.00132997
9,56.4031,0.79986,0.66402,1,0.74934,0.00131582,0.00131582,0.00131582
10,62.1821,0.78612,0.61521,1,0.82429,0.00130168,0.00130168,0.00130168
11,67.8216,0.7855,0.64132,1,0.7883,0.00128753,0.00128753,0.00128753
12,73.5912,0.77495,0.64813,1,0.76378,0.00127338,0.00127338,0.00127338
13,79.2959,0.75712,0.64699,1,0.7763,0.00125923,0.00125923,0.00125923
14,85.0324,0.75588,0.65607,1,0.76733,0.00124509,0.00124509,0.00124509
15,91.0211,0.74859,0.66629,1,0.76245,0.00123094,0.00123094,0.00123094
16,96.864,0.73159,0.63451,1,0.79527,0.00121679,0.00121679,0.00121679
17,102.645,0.72719,0.68672,1,0.72035,0.00120265,0.00120265,0.00120265
18,108.416,0.71891,0.68218,1,0.72119,0.0011885,0.0011885,0.0011885
19,114.44,0.72623,0.66969,1,0.74738,0.00117435,0.00117435,0.00117435
20,120.458,0.7087,0.66629,1,0.75924,0.00116021,0.00116021,0.00116021
21,126.393,0.69239,0.69353,1,0.72377,0.00114606,0.00114606,0.00114606
22,132.374,0.69873,0.7151,1,0.68136,0.00113191,0.00113191,0.00113191
23,138.286,0.69051,0.67423,1,0.71655,0.00111776,0.00111776,0.00111776
24,145.366,0.66096,0.70375,1,0.71188,0.00110362,0.00110362,0.00110362
25,151.776,0.65196,0.70034,1,0.67655,0.00108947,0.00108947,0.00108947
26,157.656,0.65707,0.69353,1,0.70054,0.00107532,0.00107532,0.00107532
27,163.672,0.64792,0.71396,1,0.6649,0.00106118,0.00106118,0.00106118
28,169.617,0.64991,0.69467,1,0.6634,0.00104703,0.00104703,0.00104703
