epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.2648,0.95765,0.57775,1,0.93199,0.000468651,0.000468651,0.000468651
2,16.8027,0.88444,0.57548,1,0.85031,0.000935629,0.000935629,0.000935629
3,22.6603,0.88812,0.54143,1,0.99268,0.00139318,0.00139318,0.00139318
4,28.713,0.8864,0.55278,1,0.866,0.00138656,0.00138656,0.00138656
5,34.6387,0.8532,0.54597,1,0.9278,0.00137241,0.00137241,0.00137241
6,41.0357,0.84464,0.59364,1,0.82422,0.00135826,0.00135826,0.00135826
7,47.0184,0.817,0.60613,1,0.92641,0.00134412,0.00134412,0.00134412
8,52.9279,0.80864,0.53802,1,0.95487,0.00132997,0.00132997,0.00132997
9,60.2535,0.80085,0.59024,1,0.8847,0.00131582,0.00131582,0.00131582
10,66.3384,0.78482,0.61407,1,0.83378,0.00130168,0.00130168,0.00130168
11,72.4649,0.76279,0.63224,1,0.78006,0.00128753,0.00128753,0.00128753
12,78.8766,0.75704,0.64472,1,0.79213,0.00127338,0.00127338,0.00127338
13,85.0861,0.752,0.59591,1,0.83189,0.00125923,0.00125923,0.00125923
14,91.2187,0.725,0.65153,1,0.76772,0.00124509,0.00124509,0.00124509
15,97.3002,0.73043,0.60499,1,0.82547,0.00123094,0.00123094,0.00123094
16,103.651,0.69138,0.63905,1,0.81215,0.00121679,0.00121679,0.00121679
17,109.729,0.69667,0.65834,1,0.75844,0.00120265,0.00120265,0.00120265
18,115.857,0.69932,0.6731,1,0.72231,0.0011885,0.0011885,0.0011885
19,121.874,0.67365,0.68331,1,0.69643,0.00117435,0.00117435,0.00117435
20,127.807,0.67017,0.64245,1,0.78627,0.00116021,0.00116021,0.00116021
21,134.21,0.64791,0.65267,1,0.75356,0.00114606,0.00114606,0.00114606
22,140.264,0.65206,0.60613,1,0.87688,0.00113191,0.00113191,0.00113191
23,146.162,0.64782,0.69012,1,0.68311,0.00111776,0.00111776,0.00111776
24,152.164,0.62772,0.67877,1,0.71456,0.00110362,0.00110362,0.00110362
25,158.345,0.61237,0.68445,1,0.72273,0.00108947,0.00108947,0.00108947
26,164.664,0.60891,0.68672,1,0.72468,0.00107532,0.00107532,0.00107532
27,170.6,0.6027,0.68445,1,0.76695,0.00106118,0.00106118,0.00106118
28,176.507,0.58368,0.66856,1,0.71889,0.00104703,0.00104703,0.00104703
29,182.716,0.57849,0.69012,1,0.78404,0.00103288,0.00103288,0.00103288
30,188.681,0.56396,0.70829,1,0.71498,0.00101873,0.00101873,0.00101873
31,194.846,0.52825,0.67991,1,0.78955,0.00100459,0.00100459,0.00100459
32,200.667,0.54629,0.66061,1,0.759,0.00099044,0.00099044,0.00099044
33,206.612,0.52833,0.68899,1,0.71589,0.000976293,0.000976293,0.000976293
34,212.416,0.51722,0.71396,1,0.67864,0.000962146,0.000962146,0.000962146
35,218.533,0.50785,0.70942,1,0.70871,0.000947999,0.000947999,0.000947999
36,224.698,0.49476,0.72077,1,0.7085,0.000933851,0.000933851,0.000933851
37,230.334,0.48145,0.72304,1,0.67229,0.000919704,0.000919704,0.000919704
38,236.404,0.46647,0.75255,1,0.62953,0.000905557,0.000905557,0.000905557
39,242.235,0.46723,0.75142,1,0.62709,0.00089141,0.00089141,0.00089141
40,248.364,0.45614,0.73553,1,0.60819,0.000877263,0.000877263,0.000877263
41,254.779,0.42257,0.71737,1,0.70006,0.000863116,0.000863116,0.000863116
42,260.782,0.4298,0.72191,1,0.66574,0.000848969,0.000848969,0.000848969
43,266.741,0.40901,0.73326,1,0.68743,0.000834822,0.000834822,0.000834822
44,272.723,0.39978,0.74915,1,0.62898,0.000820675,0.000820675,0.000820675
45,278.402,0.39339,0.69126,1,0.78097,0.000806528,0.000806528,0.000806528
46,285.592,0.39507,0.74234,1,0.66483,0.00079238,0.00079238,0.00079238
47,291.814,0.39246,0.74915,1,0.66316,0.000778233,0.000778233,0.000778233
48,298.215,0.36383,0.75369,1,0.70996,0.000764086,0.000764086,0.000764086
49,304.507,0.34888,0.73893,1,0.72168,0.000749939,0.000749939,0.000749939
50,310.518,0.32833,0.77526,1,0.64132,0.000735792,0.000735792,0.000735792
51,316.547,0.32845,0.75369,1,0.66284,0.000721645,0.000721645,0.000721645
52,322.532,0.33416,0.74007,1,0.66246,0.000707498,0.000707498,0.000707498
53,328.435,0.30507,0.74461,1,0.68883,0.000693351,0.000693351,0.000693351
54,334.04,0.30683,0.76163,1,0.646,0.000679204,0.000679204,0.000679204
55,339.758,0.29169,0.75823,1,0.71219,0.000665057,0.000665057,0.000665057
56,345.443,0.30127,0.72531,1,0.79297,0.000650909,0.000650909,0.000650909
57,351.059,0.2921,0.77299,1,0.66316,0.000636762,0.000636762,0.000636762
58,356.985,0.28131,0.76731,1,0.61761,0.000622615,0.000622615,0.000622615
59,362.861,0.27893,0.74688,1,0.71882,0.000608468,0.000608468,0.000608468
60,368.422,0.26606,0.78434,1,0.6513,0.000594321,0.000594321,0.000594321
61,373.99,0.25671,0.76277,1,0.73975,0.000580174,0.000580174,0.000580174
62,379.578,0.25039,0.77866,1,0.70138,0.000566027,0.000566027,0.000566027
63,385.331,0.23411,0.76844,1,0.71177,0.00055188,0.00055188,0.00055188
64,390.856,0.25649,0.77412,1,0.72845,0.000537733,0.000537733,0.000537733
65,396.53,0.23425,0.77412,1,0.67062,0.000523586,0.000523586,0.000523586
66,402.159,0.22808,0.77072,1,0.71129,0.000509438,0.000509438,0.000509438
67,407.916,0.22724,0.79115,1,0.61537,0.000495291,0.000495291,0.000495291
68,413.392,0.21938,0.7798,1,0.6686,0.000481144,0.000481144,0.000481144
69,419.225,0.20899,0.78888,1,0.64052,0.000466997,0.000466997,0.000466997
70,425.003,0.19112,0.78888,1,0.65342,0.00045285,0.00045285,0.00045285
71,430.61,0.19751,0.80136,1,0.65398,0.000438703,0.000438703,0.000438703
72,436.693,0.19048,0.7605,1,0.78418,0.000424556,0.000424556,0.000424556
73,442.383,0.19857,0.79228,1,0.66096,0.000410409,0.000410409,0.000410409
74,448.885,0.17184,0.78774,1,0.66556,0.000396262,0.000396262,0.000396262
75,455.496,0.18539,0.78888,1,0.65604,0.000382115,0.000382115,0.000382115
76,461.546,0.16707,0.80023,1,0.62922,0.000367967,0.000367967,0.000367967
77,467.019,0.17205,0.79796,1,0.63756,0.00035382,0.00035382,0.00035382
78,472.751,0.1537,0.80477,1,0.65841,0.000339673,0.000339673,0.000339673
79,478.204,0.14769,0.80931,1,0.69692,0.000325526,0.000325526,0.000325526
80,483.822,0.1675,0.82633,1,0.65318,0.000311379,0.000311379,0.000311379
81,489.116,0.14731,0.8059,1,0.6686,0.000297232,0.000297232,0.000297232
82,494.483,0.15899,0.80477,1,0.67927,0.000283085,0.000283085,0.000283085
83,499.99,0.15063,0.80477,1,0.6513,0.000268938,0.000268938,0.000268938
84,505.504,0.11216,0.80363,1,0.69036,0.000254791,0.000254791,0.000254791
85,511.1,0.13706,0.8025,1,0.6649,0.000240644,0.000240644,0.000240644
86,516.54,0.13314,0.81839,1,0.64205,0.000226497,0.000226497,0.000226497
87,522.064,0.12421,0.81044,1,0.6672,0.000212349,0.000212349,0.000212349
88,527.35,0.13248,0.80704,1,0.68084,0.000198202,0.000198202,0.000198202
89,532.875,0.1167,0.80363,1,0.69134,0.000184055,0.000184055,0.000184055
90,538.508,0.12517,0.81158,1,0.67746,0.000169908,0.000169908,0.000169908
91,571.817,0.11867,0.80136,1,0.66574,0.000155761,0.000155761,0.000155761
92,577.779,0.10583,0.81612,1,0.65622,0.000141614,0.000141614,0.000141614
93,583.922,0.11341,0.81271,1,0.65751,0.000127467,0.000127467,0.000127467
94,589.393,0.09882,0.81271,1,0.68555,0.00011332,0.00011332,0.00011332
95,594.742,0.10543,0.81725,1,0.6731,9.91726e-05,9.91726e-05,9.91726e-05
96,599.999,0.09669,0.81158,1,0.68004,8.50255e-05,8.50255e-05,8.50255e-05
97,605.212,0.08334,0.81498,1,0.69071,7.08784e-05,7.08784e-05,7.08784e-05
98,610.495,0.08964,0.80817,1,0.70382,5.67313e-05,5.67313e-05,5.67313e-05
99,615.779,0.09754,0.81498,1,0.70759,4.25842e-05,4.25842e-05,4.25842e-05
100,620.946,0.09284,0.81725,1,0.69904,2.84371e-05,2.84371e-05,2.84371e-05
