epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.938,0.70492,0.76448,1,0.6379,0.000474903,0.000474903,0.000474903
2,66.7516,0.57781,0.7547,1,0.57707,0.000941819,0.000941819,0.000941819
3,95.6107,0.5567,0.60873,1,0.83789,0.0013993,0.0013993,0.0013993
4,126.544,0.53651,0.82919,1,0.40037,0.00138656,0.00138656,0.00138656
5,155.61,0.47418,0.84349,1,0.39008,0.00137241,0.00137241,0.00137241
6,189.822,0.46117,0.85553,1,0.40002,0.00135826,0.00135826,0.00135826
7,229.121,0.43667,0.76599,1,0.57257,0.00134412,0.00134412,0.00134412
8,263.059,0.40901,0.7833,1,0.51531,0.00132997,0.00132997,0.00132997
9,294.751,0.4212,0.88789,1,0.29843,0.00131582,0.00131582,0.00131582
10,328.147,0.38557,0.64409,1,1.03133,0.00130168,0.00130168,0.00130168
11,362.929,0.37582,0.86381,1,0.35916,0.00128753,0.00128753,0.00128753
12,402.794,0.36805,0.88789,1,0.31292,0.00127338,0.00127338,0.00127338
13,443.382,0.34516,0.80361,1,0.45556,0.00125923,0.00125923,0.00125923
14,488.203,0.34197,0.87284,1,0.31741,0.00124509,0.00124509,0.00124509
15,532.543,0.33351,0.92325,1,0.22625,0.00123094,0.00123094,0.00123094
16,578.939,0.33748,0.8924,1,0.26993,0.00121679,0.00121679,0.00121679
17,623.785,0.32381,0.90143,1,0.26273,0.00120265,0.00120265,0.00120265
18,668.447,0.29755,0.90745,1,0.22921,0.0011885,0.0011885,0.0011885
19,712.514,0.27925,0.91046,1,0.25493,0.00117435,0.00117435,0.00117435
20,757.05,0.27822,0.92476,1,0.24257,0.00116021,0.00116021,0.00116021
21,801.24,0.28159,0.90594,1,0.24621,0.00114606,0.00114606,0.00114606
22,845.044,0.29819,0.91874,1,0.22175,0.00113191,0.00113191,0.00113191
23,890.311,0.26952,0.92626,1,0.21612,0.00111776,0.00111776,0.00111776
24,935.528,0.2758,0.93454,1,0.19759,0.00110362,0.00110362,0.00110362
25,980.641,0.27642,0.93378,1,0.18553,0.00108947,0.00108947,0.00108947
26,1033.36,0.24462,0.92024,1,0.2067,0.00107532,0.00107532,0.00107532
27,1095.85,0.25664,0.9067,1,0.24354,0.00106118,0.00106118,0.00106118
28,1144.38,0.25511,0.93228,1,0.19235,0.00104703,0.00104703,0.00104703
29,1186.86,0.2528,0.93755,1,0.16773,0.00103288,0.00103288,0.00103288
30,1229.88,0.23741,0.91874,1,0.19456,0.00101873,0.00101873,0.00101873
31,1276.85,0.23339,0.91723,1,0.23181,0.00100459,0.00100459,0.00100459
32,1323.28,0.22163,0.94733,1,0.17314,0.00099044,0.00099044,0.00099044
33,1364.72,0.2291,0.94357,1,0.16155,0.000976293,0.000976293,0.000976293
34,1409.13,0.21366,0.92175,1,0.21412,0.000962146,0.000962146,0.000962146
35,1448.35,0.21167,0.95034,1,0.15575,0.000947999,0.000947999,0.000947999
36,1488.12,0.21988,0.93002,1,0.17061,0.000933851,0.000933851,0.000933851
37,1528.02,0.20313,0.92024,1,0.18746,0.000919704,0.000919704,0.000919704
38,1566.65,0.208,0.93002,1,0.1622,0.000905557,0.000905557,0.000905557
39,1606.88,0.20429,0.9383,1,0.14851,0.00089141,0.00089141,0.00089141
40,1648.13,0.20474,0.94733,1,0.15596,0.000877263,0.000877263,0.000877263
41,1690.33,0.1931,0.94733,1,0.14345,0.000863116,0.000863116,0.000863116
42,1730.72,0.1768,0.94056,1,0.18021,0.000848969,0.000848969,0.000848969
43,1776.34,0.17858,0.93679,1,0.1704,0.000834822,0.000834822,0.000834822
44,1817.56,0.17418,0.94733,1,0.14483,0.000820675,0.000820675,0.000820675
45,1858.38,0.1784,0.94808,1,0.14397,0.000806528,0.000806528,0.000806528
46,1900.06,0.17891,0.95485,1,0.13282,0.00079238,0.00079238,0.00079238
47,1941.51,0.17616,0.94206,1,0.15537,0.000778233,0.000778233,0.000778233
48,1982.96,0.16614,0.94432,1,0.14709,0.000764086,0.000764086,0.000764086
49,2023.82,0.18037,0.96238,1,0.12947,0.000749939,0.000749939,0.000749939
50,2064.97,0.15962,0.93529,1,0.17619,0.000735792,0.000735792,0.000735792
51,2107.65,0.1619,0.94582,1,0.13792,0.000721645,0.000721645,0.000721645
52,2148.74,0.16646,0.9526,1,0.13649,0.000707498,0.000707498,0.000707498
53,2190.17,0.15372,0.95335,1,0.13781,0.000693351,0.000693351,0.000693351
54,2231.08,0.15292,0.95786,1,0.11446,0.000679204,0.000679204,0.000679204
55,2271.93,0.13675,0.95711,1,0.11356,0.000665057,0.000665057,0.000665057
56,2311.68,0.14436,0.95636,1,0.12398,0.000650909,0.000650909,0.000650909
57,2365.61,0.1419,0.95034,1,0.13173,0.000636762,0.000636762,0.000636762
58,2406.28,0.13381,0.94281,1,0.15388,0.000622615,0.000622615,0.000622615
59,2449.82,0.13421,0.95862,1,0.10839,0.000608468,0.000608468,0.000608468
60,2491.08,0.12912,0.94883,1,0.13621,0.000594321,0.000594321,0.000594321
61,2532.88,0.13983,0.96087,1,0.12258,0.000580174,0.000580174,0.000580174
62,2573.45,0.13253,0.96313,1,0.1108,0.000566027,0.000566027,0.000566027
63,2615.03,0.13249,0.95109,1,0.13461,0.00055188,0.00055188,0.00055188
64,2657.6,0.12292,0.95184,1,0.14135,0.000537733,0.000537733,0.000537733
65,2708.26,0.11388,0.96313,1,0.11232,0.000523586,0.000523586,0.000523586
66,2753.18,0.12148,0.95561,1,0.11646,0.000509438,0.000509438,0.000509438
67,2796.29,0.11218,0.96388,1,0.10591,0.000495291,0.000495291,0.000495291
68,2840.02,0.12077,0.96163,1,0.10964,0.000481144,0.000481144,0.000481144
69,2883.76,0.11952,0.96012,1,0.1181,0.000466997,0.000466997,0.000466997
70,2926.91,0.11193,0.96388,1,0.11037,0.00045285,0.00045285,0.00045285
71,2970.69,0.10733,0.96614,1,0.10201,0.000438703,0.000438703,0.000438703
