epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.2594,0.57822,0.76911,1,0.5013,0.00330484,0.00330484,0.00330484
2,30.4295,0.45321,0.64671,1,0.72907,0.00661627,0.00661627,0.00661627
3,44.6439,0.41068,0.80599,1,0.49896,0.0099057,0.0099057,0.0099057
4,58.9168,0.41099,0.80866,1,0.41678,0.009901,0.009901,0.009901
5,73.2729,0.35544,0.85783,1,0.31476,0.009868,0.009868,0.009868
6,87.6641,0.31271,0.85676,1,0.31396,0.009835,0.009835,0.009835
7,101.99,0.27984,0.75681,1,0.47048,0.009802,0.009802,0.009802
8,116.235,0.27919,0.88135,1,0.30248,0.009769,0.009769,0.009769
9,130.728,0.25586,0.80438,1,0.40404,0.009736,0.009736,0.009736
10,144.973,0.24485,0.85516,1,0.33548,0.009703,0.009703,0.009703
11,159.144,0.22682,0.86211,1,0.33114,0.00967,0.00967,0.00967
12,173.387,0.23313,0.89631,1,0.2892,0.009637,0.009637,0.009637
13,187.617,0.21554,0.89471,1,0.2669,0.009604,0.009604,0.009604
14,201.921,0.21011,0.90112,1,0.24143,0.009571,0.009571,0.009571
15,216.117,0.20558,0.91555,1,0.21698,0.009538,0.009538,0.009538
16,230.543,0.1791,0.63495,1,0.98167,0.009505,0.009505,0.009505
17,244.934,0.18044,0.74719,1,0.61053,0.009472,0.009472,0.009472
18,259.326,0.16963,0.86745,1,0.32752,0.009439,0.009439,0.009439
19,273.765,0.16082,0.87654,1,0.31711,0.009406,0.009406,0.009406
20,288.027,0.16654,0.91181,1,0.25074,0.009373,0.009373,0.009373
21,302.352,0.15871,0.87333,1,0.3195,0.00934,0.00934,0.00934
22,316.674,0.16782,0.78728,1,0.72575,0.009307,0.009307,0.009307
23,331.161,0.15238,0.91181,1,0.2158,0.009274,0.009274,0.009274
24,345.456,0.14768,0.79476,1,0.51063,0.009241,0.009241,0.009241
25,359.695,0.14931,0.91502,1,0.22113,0.009208,0.009208,0.009208
26,374.003,0.14091,0.92678,1,0.20165,0.009175,0.009175,0.009175
27,388.412,0.14033,0.90914,1,0.21556,0.009142,0.009142,0.009142
28,402.773,0.11549,0.91609,1,0.25636,0.009109,0.009109,0.009109
29,417.188,0.13118,0.92143,1,0.22634,0.009076,0.009076,0.009076
30,431.471,0.11979,0.90754,1,0.31502,0.009043,0.009043,0.009043
31,445.766,0.12638,0.90326,1,0.25343,0.00901,0.00901,0.00901
32,460.133,0.13131,0.91929,1,0.21832,0.008977,0.008977,0.008977
33,474.43,0.12271,0.91716,1,0.21074,0.008944,0.008944,0.008944
34,488.835,0.13141,0.92357,1,0.18887,0.008911,0.008911,0.008911
35,503.121,0.11599,0.91448,1,0.2708,0.008878,0.008878,0.008878
36,517.502,0.11212,0.93907,1,0.16469,0.008845,0.008845,0.008845
37,531.815,0.10651,0.8899,1,0.26847,0.008812,0.008812,0.008812
38,546.068,0.12294,0.90861,1,0.24355,0.008779,0.008779,0.008779
39,560.314,0.11491,0.93426,1,0.20273,0.008746,0.008746,0.008746
40,574.608,0.10555,0.9241,1,0.20109,0.008713,0.008713,0.008713
41,588.906,0.10267,0.907,1,0.24627,0.00868,0.00868,0.00868
42,603.547,0.09764,0.93479,1,0.18542,0.008647,0.008647,0.008647
43,617.854,0.10972,0.91609,1,0.22961,0.008614,0.008614,0.008614
44,632.231,0.09922,0.93426,1,0.20032,0.008581,0.008581,0.008581
45,646.567,0.0898,0.92624,1,0.24239,0.008548,0.008548,0.008548
46,660.958,0.11065,0.92731,1,0.21704,0.008515,0.008515,0.008515
47,675.405,0.10337,0.93212,1,0.19804,0.008482,0.008482,0.008482
48,689.63,0.09522,0.90379,1,0.25566,0.008449,0.008449,0.008449
49,703.865,0.09697,0.93907,1,0.19832,0.008416,0.008416,0.008416
50,718.217,0.0898,0.94548,1,0.20698,0.008383,0.008383,0.008383
51,732.576,0.08512,0.94067,1,0.21659,0.00835,0.00835,0.00835
52,746.917,0.08546,0.94655,1,0.17861,0.008317,0.008317,0.008317
53,761.219,0.08872,0.94014,1,0.1909,0.008284,0.008284,0.008284
54,775.524,0.08872,0.93479,1,0.17072,0.008251,0.008251,0.008251
55,789.739,0.08773,0.94709,1,0.17762,0.008218,0.008218,0.008218
56,804.071,0.07401,0.94923,1,0.14832,0.008185,0.008185,0.008185
57,818.457,0.08978,0.93693,1,0.2036,0.008152,0.008152,0.008152
58,832.745,0.0847,0.94335,1,0.17826,0.008119,0.008119,0.008119
59,847.139,0.08585,0.93854,1,0.1914,0.008086,0.008086,0.008086
60,861.802,0.08461,0.94067,1,0.17388,0.008053,0.008053,0.008053
61,876.203,0.07083,0.95029,1,0.19291,0.00802,0.00802,0.00802
62,890.739,0.08299,0.94869,1,0.16347,0.007987,0.007987,0.007987
63,905.146,0.07557,0.94869,1,0.16926,0.007954,0.007954,0.007954
64,919.594,0.07857,0.94762,1,0.16104,0.007921,0.007921,0.007921
65,933.844,0.07906,0.94441,1,0.19239,0.007888,0.007888,0.007888
66,948.212,0.07032,0.94121,1,0.17748,0.007855,0.007855,0.007855
67,962.56,0.08302,0.94869,1,0.15123,0.007822,0.007822,0.007822
68,976.919,0.06898,0.94869,1,0.16006,0.007789,0.007789,0.007789
69,991.177,0.08934,0.94441,1,0.16738,0.007756,0.007756,0.007756
70,1005.47,0.07763,0.94228,1,0.17918,0.007723,0.007723,0.007723
71,1019.93,0.07512,0.94014,1,0.18629,0.00769,0.00769,0.00769
72,1034.38,0.0675,0.95083,1,0.17385,0.007657,0.007657,0.007657
73,1048.88,0.07572,0.95083,1,0.17485,0.007624,0.007624,0.007624
74,1063.42,0.07569,0.95083,1,0.16128,0.007591,0.007591,0.007591
75,1077.9,0.06948,0.9519,1,0.14376,0.007558,0.007558,0.007558
76,1092.14,0.06725,0.95297,1,0.15167,0.007525,0.007525,0.007525
77,1106.45,0.07083,0.9519,1,0.14767,0.007492,0.007492,0.007492
78,1120.82,0.0737,0.94869,1,0.16407,0.007459,0.007459,0.007459
