epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.2864,0.60783,0.67317,1,0.55208,0.00331395,0.00331395,0.00331395
2,80.1073,0.48603,0.71373,1,0.5756,0.00662672,0.00662672,0.00662672
3,116.128,0.43815,0.73167,1,0.49955,0.00991887,0.00991887,0.00991887
4,152.991,0.40085,0.69657,1,0.49397,0.00990719,0.00990719,0.00990719
5,189.158,0.35477,0.70593,1,0.54761,0.00987625,0.00987625,0.00987625
6,225.555,0.31832,0.71919,1,0.73584,0.00984531,0.00984531,0.00984531
7,261.375,0.2961,0.74181,1,0.56307,0.00981438,0.00981438,0.00981438
8,298.62,0.28026,0.71529,1,0.58577,0.00978344,0.00978344,0.00978344
9,334.964,0.26808,0.70983,1,0.60428,0.0097525,0.0097525,0.0097525
10,370.922,0.25927,0.71295,1,0.61645,0.00972156,0.00972156,0.00972156
11,407.533,0.25044,0.73713,1,0.51261,0.00969063,0.00969063,0.00969063
12,443.893,0.23154,0.72387,1,1.07585,0.00965969,0.00965969,0.00965969
13,481.227,0.22687,0.71841,1,0.64341,0.00962875,0.00962875,0.00962875
14,516.991,0.22057,0.73401,1,0.69271,0.00959781,0.00959781,0.00959781
15,553.271,0.20425,0.74727,1,0.54461,0.00956688,0.00956688,0.00956688
16,589.555,0.20749,0.66459,1,0.96484,0.00953594,0.00953594,0.00953594
17,625.907,0.20491,0.72543,1,0.75,0.009505,0.009505,0.009505
18,661.963,0.18445,0.70437,1,1.46118,0.00947406,0.00947406,0.00947406
19,698.87,0.19255,0.71919,1,0.97144,0.00944313,0.00944313,0.00944313
20,734.036,0.19333,0.70671,1,0.81421,0.00941219,0.00941219,0.00941219
21,771.527,0.18845,0.72543,1,0.72314,0.00938125,0.00938125,0.00938125
22,807.828,0.18609,0.71685,1,1.03516,0.00935031,0.00935031,0.00935031
23,844.318,0.18187,0.75273,1,0.90348,0.00931937,0.00931937,0.00931937
24,881.045,0.18081,0.71607,1,0.69512,0.00928844,0.00928844,0.00928844
25,916.28,0.17808,0.72153,1,0.65511,0.0092575,0.0092575,0.0092575
26,952.628,0.17962,0.72543,1,0.58111,0.00922656,0.00922656,0.00922656
27,989.179,0.1712,0.71685,1,1.15186,0.00919562,0.00919562,0.00919562
28,1026.46,0.17005,0.75741,1,0.85726,0.00916469,0.00916469,0.00916469
29,1062.92,0.17515,0.74337,1,0.56974,0.00913375,0.00913375,0.00913375
30,1099.48,0.16734,0.73167,1,0.65368,0.00910281,0.00910281,0.00910281
31,1136.1,0.16698,0.71607,1,1.12492,0.00907188,0.00907188,0.00907188
32,1171.64,0.17639,0.72777,1,0.67953,0.00904094,0.00904094,0.00904094
33,1208.15,0.16991,0.72075,1,0.68803,0.00901,0.00901,0.00901
34,1244.7,0.16833,0.74805,1,0.69922,0.00897906,0.00897906,0.00897906
35,1281.42,0.16074,0.70515,1,0.72485,0.00894812,0.00894812,0.00894812
36,1317.82,0.16973,0.70827,1,0.7638,0.00891719,0.00891719,0.00891719
37,1353.25,0.17087,0.72621,1,0.68273,0.00888625,0.00888625,0.00888625
38,1390.46,0.16475,0.73323,1,0.95752,0.00885531,0.00885531,0.00885531
39,1426.46,0.17323,0.73167,1,1.01432,0.00882438,0.00882438,0.00882438
40,1463.44,0.16849,0.72933,1,0.62842,0.00879344,0.00879344,0.00879344
41,1498.91,0.16852,0.74805,1,0.8859,0.0087625,0.0087625,0.0087625
42,1535.78,0.16395,0.74181,1,0.63704,0.00873156,0.00873156,0.00873156
43,1571.61,0.15726,0.72777,1,0.7137,0.00870063,0.00870063,0.00870063
44,1608.21,0.15866,0.73323,1,0.6501,0.00866969,0.00866969,0.00866969
45,1644.82,0.15528,0.74025,1,0.84432,0.00863875,0.00863875,0.00863875
46,1680.71,0.15574,0.73479,1,0.90145,0.00860781,0.00860781,0.00860781
47,1716.23,0.15697,0.74103,1,0.95972,0.00857687,0.00857687,0.00857687
48,1752.55,0.16,0.74883,1,0.64009,0.00854594,0.00854594,0.00854594
49,1789.43,0.15785,0.72543,1,0.68166,0.008515,0.008515,0.008515
50,1825.52,0.15672,0.75429,1,1.04313,0.00848406,0.00848406,0.00848406
51,1862.18,0.15166,0.74415,1,1.10938,0.00845313,0.00845313,0.00845313
52,1899.22,0.15087,0.72777,1,0.89152,0.00842219,0.00842219,0.00842219
53,1936.44,0.15335,0.72309,1,0.69589,0.00839125,0.00839125,0.00839125
54,1972.22,0.15318,0.73011,1,0.72021,0.00836031,0.00836031,0.00836031
55,2008.65,0.15257,0.74727,1,0.69869,0.00832937,0.00832937,0.00832937
56,2045.09,0.1518,0.74727,1,0.75647,0.00829844,0.00829844,0.00829844
57,2081.64,0.15466,0.72777,1,0.73462,0.0082675,0.0082675,0.0082675
58,2117.35,0.15296,0.71373,1,1.16927,0.00823656,0.00823656,0.00823656
59,2153.48,0.15001,0.72075,1,1.08545,0.00820562,0.00820562,0.00820562
60,2189.97,0.15078,0.72465,1,1.27572,0.00817469,0.00817469,0.00817469
61,2225.81,0.14656,0.71529,1,0.8632,0.00814375,0.00814375,0.00814375
62,2262.76,0.14728,0.73713,1,1.09416,0.00811281,0.00811281,0.00811281
63,2299.59,0.14886,0.72387,1,0.7869,0.00808188,0.00808188,0.00808188
64,2336.17,0.14892,0.71919,1,0.89933,0.00805094,0.00805094,0.00805094
65,2372.7,0.14218,0.71997,1,0.88981,0.00802,0.00802,0.00802
66,2409.02,0.14246,0.72231,1,1.13452,0.00798906,0.00798906,0.00798906
67,2445.77,0.14354,0.72777,1,0.76335,0.00795812,0.00795812,0.00795812
68,2481.53,0.14083,0.72543,1,0.71981,0.00792719,0.00792719,0.00792719
69,2517.92,0.14099,0.72465,1,0.76105,0.00789625,0.00789625,0.00789625
70,2554.57,0.15296,0.71841,1,0.74664,0.00786531,0.00786531,0.00786531
71,2590.72,0.13019,0.72309,1,1.05648,0.00783438,0.00783438,0.00783438
72,2627.29,0.14318,0.72153,1,0.72046,0.00780344,0.00780344,0.00780344
73,2662.99,0.1407,0.72153,1,0.75675,0.0077725,0.0077725,0.0077725
74,2699.49,0.1355,0.72777,1,0.84351,0.00774156,0.00774156,0.00774156
75,2735.75,0.13977,0.72309,1,0.70134,0.00771063,0.00771063,0.00771063
76,2772.26,0.14055,0.72855,1,0.83032,0.00767969,0.00767969,0.00767969
77,2808.38,0.13733,0.72387,1,0.74389,0.00764875,0.00764875,0.00764875
78,2844.81,0.13196,0.72075,1,1.1569,0.00761781,0.00761781,0.00761781
