epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1747,0.64082,0.65757,1,0.61104,0.00329004,0.00329004,0.00329004
2,34.8042,0.51734,0.66873,1,0.66948,0.00660289,0.00660289,0.00660289
3,50.9936,0.45812,0.76013,1,0.49294,0.0098951,0.0098951,0.0098951
4,66.8822,0.41817,0.75641,1,0.46594,0.00990719,0.00990719,0.00990719
5,83.6971,0.37049,0.77378,1,0.46201,0.00987625,0.00987625,0.00987625
6,99.25,0.33153,0.78122,1,0.4489,0.00984531,0.00984531,0.00984531
7,115.478,0.3088,0.75931,1,0.54341,0.00981438,0.00981438,0.00981438
8,130.856,0.29438,0.79322,1,0.4293,0.00978344,0.00978344,0.00978344
9,146.606,0.28105,0.78453,1,0.43125,0.0097525,0.0097525,0.0097525
10,162.409,0.26241,0.81514,1,0.42129,0.00972156,0.00972156,0.00972156
11,178.604,0.25142,0.80893,1,0.46301,0.00969063,0.00969063,0.00969063
12,194.834,0.24379,0.75227,1,0.49189,0.00965969,0.00965969,0.00965969
13,210.113,0.23374,0.76882,1,0.53823,0.00962875,0.00962875,0.00962875
14,226.338,0.22242,0.82175,1,0.427,0.00959781,0.00959781,0.00959781
15,242.656,0.2032,0.82217,1,0.40642,0.00956688,0.00956688,0.00956688
16,258.057,0.21278,0.83292,1,0.39299,0.00953594,0.00953594,0.00953594
17,273.909,0.2008,0.82258,1,0.41738,0.009505,0.009505,0.009505
18,290.079,0.18605,0.82258,1,0.42336,0.00947406,0.00947406,0.00947406
19,306.989,0.18765,0.83623,1,0.38318,0.00944313,0.00944313,0.00944313
20,322.066,0.18158,0.82837,1,0.44788,0.00941219,0.00941219,0.00941219
21,337.874,0.17365,0.84574,1,0.41631,0.00938125,0.00938125,0.00938125
22,353.923,0.17295,0.8416,1,0.41331,0.00935031,0.00935031,0.00935031
23,370.033,0.16359,0.84036,1,0.39087,0.00931937,0.00931937,0.00931937
24,386.105,0.16307,0.82796,1,0.40657,0.00928844,0.00928844,0.00928844
25,402.478,0.16313,0.82837,1,0.48452,0.0092575,0.0092575,0.0092575
26,417.909,0.15369,0.82837,1,0.41958,0.00922656,0.00922656,0.00922656
27,433.408,0.15407,0.82672,1,0.44104,0.00919562,0.00919562,0.00919562
28,449.388,0.14393,0.83085,1,0.41233,0.00916469,0.00916469,0.00916469
29,465.307,0.14129,0.82217,1,0.48062,0.00913375,0.00913375,0.00913375
30,481.615,0.14173,0.83085,1,0.42275,0.00910281,0.00910281,0.00910281
31,497.442,0.14458,0.8536,1,0.42388,0.00907188,0.00907188,0.00907188
32,513.71,0.13543,0.83788,1,0.429,0.00904094,0.00904094,0.00904094
33,529.284,0.12787,0.84739,1,0.44316,0.00901,0.00901,0.00901
34,545.221,0.12642,0.83995,1,0.41653,0.00897906,0.00897906,0.00897906
35,560.869,0.13596,0.78205,1,0.65801,0.00894812,0.00894812,0.00894812
36,577.216,0.12302,0.84367,1,0.43967,0.00891719,0.00891719,0.00891719
37,592.85,0.12996,0.82134,1,0.46714,0.00888625,0.00888625,0.00888625
38,609.04,0.12875,0.83002,1,0.50994,0.00885531,0.00885531,0.00885531
39,625.004,0.12192,0.83416,1,0.48508,0.00882438,0.00882438,0.00882438
40,641.235,0.11763,0.83706,1,0.47295,0.00879344,0.00879344,0.00879344
41,656.45,0.11423,0.85153,1,0.46807,0.0087625,0.0087625,0.0087625
42,672.93,0.12225,0.84946,1,0.40483,0.00873156,0.00873156,0.00873156
43,688.448,0.11585,0.85194,1,0.43005,0.00870063,0.00870063,0.00870063
44,704.493,0.12013,0.84367,1,0.42012,0.00866969,0.00866969,0.00866969
45,720.75,0.12169,0.85029,1,0.40974,0.00863875,0.00863875,0.00863875
46,736.396,0.11007,0.8445,1,0.46812,0.00860781,0.00860781,0.00860781
47,752.36,0.11754,0.80149,1,0.64504,0.00857687,0.00857687,0.00857687
48,768.339,0.1113,0.84202,1,0.4344,0.00854594,0.00854594,0.00854594
