epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.50431,0.6981,0.37988,1,0.94652,0.00041675,0.00041675,0.00041675
2,8.59077,0.71054,0.57254,1,0.68714,0.000844559,0.000844559,0.000844559
3,11.8814,0.74157,0.57722,1,0.72927,0.00126665,0.00126665,0.00126665
4,15.2514,0.71505,0.64977,1,1.48153,0.00163399,0.00163399,0.00163399
5,18.5075,0.68049,0.4376,1,0.77836,0.00162299,0.00162299,0.00162299
6,21.6463,0.68384,0.49064,1,0.80162,0.00161199,0.00161199,0.00161199
7,24.9683,0.66258,0.63417,1,0.68093,0.00160099,0.00160099,0.00160099
8,28.1791,0.65297,0.35803,1,0.997,0.00158998,0.00158998,0.00158998
9,31.2351,0.66595,0.67317,1,0.60809,0.00157898,0.00157898,0.00157898
10,34.6259,0.65385,0.54446,1,0.74605,0.00156798,0.00156798,0.00156798
11,37.7862,0.67288,0.40484,1,0.8572,0.00155698,0.00155698,0.00155698
12,41.2799,0.66301,0.59126,1,0.70716,0.00154598,0.00154598,0.00154598
13,44.3136,0.64842,0.56708,1,0.82812,0.00153497,0.00153497,0.00153497
14,47.4965,0.66121,0.65055,1,0.78089,0.00152397,0.00152397,0.00152397
15,50.7189,0.65197,0.63339,1,0.71564,0.00151297,0.00151297,0.00151297
16,54.2447,0.6603,0.52964,1,0.71507,0.00150197,0.00150197,0.00150197
17,57.4184,0.66515,0.53354,1,0.6871,0.00149096,0.00149096,0.00149096
18,60.535,0.64185,0.4649,1,0.93714,0.00147996,0.00147996,0.00147996
19,63.6851,0.63179,0.63573,1,0.84699,0.00146896,0.00146896,0.00146896
20,66.9783,0.64147,0.58814,1,0.6966,0.00145796,0.00145796,0.00145796
21,70.3367,0.63454,0.61388,1,0.66064,0.00144696,0.00144696,0.00144696
22,73.5617,0.62866,0.63339,1,0.71946,0.00143595,0.00143595,0.00143595
23,76.818,0.61521,0.61154,1,0.67205,0.00142495,0.00142495,0.00142495
24,80.1248,0.61372,0.62559,1,0.73068,0.00141395,0.00141395,0.00141395
25,83.2196,0.61851,0.50858,1,0.83549,0.00140295,0.00140295,0.00140295
26,86.4781,0.644,0.6092,1,0.77521,0.00139195,0.00139195,0.00139195
27,89.6171,0.64239,0.65445,1,0.66473,0.00138094,0.00138094,0.00138094
28,92.897,0.6086,0.48908,1,0.92498,0.00136994,0.00136994,0.00136994
29,96.1486,0.59834,0.53276,1,0.85613,0.00135894,0.00135894,0.00135894
30,99.4681,0.60949,0.46022,1,0.80646,0.00134794,0.00134794,0.00134794
31,102.553,0.57745,0.44462,1,1.29812,0.00133693,0.00133693,0.00133693
32,105.837,0.58421,0.64821,1,0.64463,0.00132593,0.00132593,0.00132593
