epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.6457,0.98246,0.48568,1,0.98535,0.00011432,0.00011432,0.00011432
2,45.0096,0.87044,0.51166,1,0.9353,0.000242128,0.000242128,0.000242128
3,48.8549,0.8049,0.56522,1,0.90137,0.000369088,0.000369088,0.000369088
4,53.1055,0.73677,0.57794,1,0.95776,0.000495199,0.000495199,0.000495199
5,57.0688,0.66219,0.59014,1,0.96289,0.00062046,0.00062046,0.00062046
6,61.0218,0.59184,0.63945,1,0.8418,0.000744873,0.000744873,0.000744873
7,65.1633,0.59008,0.59014,1,0.98364,0.000868438,0.000868438,0.000868438
8,69.0368,0.54427,0.63256,1,0.90796,0.000991153,0.000991153,0.000991153
9,72.8726,0.538,0.61718,1,0.95044,0.00111302,0.00111302,0.00111302
10,76.7512,0.52145,0.61294,1,1.09766,0.00123404,0.00123404,0.00123404
11,80.4901,0.56246,0.64051,1,1.01367,0.00135421,0.00135421,0.00135421
12,84.8878,0.53113,0.65323,1,1.09473,0.00137713,0.00137713,0.00137713
13,90.0288,0.53231,0.67391,1,0.96509,0.00137241,0.00137241,0.00137241
14,94.7248,0.46422,0.66384,1,0.88281,0.0013677,0.0013677,0.0013677
15,99.4076,0.44622,0.68028,1,0.90088,0.00136298,0.00136298,0.00136298
16,104.171,0.4267,0.70626,1,0.83643,0.00135826,0.00135826,0.00135826
17,109.093,0.40681,0.67975,1,0.88062,0.00135355,0.00135355,0.00135355
18,114.45,0.35214,0.66013,1,1.13623,0.00134883,0.00134883,0.00134883
19,119.517,0.35096,0.71262,1,0.83032,0.00134412,0.00134412,0.00134412
20,124.639,0.34346,0.67444,1,1.02441,0.0013394,0.0013394,0.0013394
21,129.448,0.32941,0.68929,1,0.96289,0.00133469,0.00133469,0.00133469
22,134.167,0.30987,0.69035,1,0.98193,0.00132997,0.00132997,0.00132997
23,139.126,0.2952,0.70626,1,0.89087,0.00132525,0.00132525,0.00132525
