epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.1364,0.89316,0.5017,1,1.05514,0.000472042,0.000472042,0.000472042
2,24.3361,0.94291,0.51532,1,0.98643,0.000938986,0.000938986,0.000938986
3,34.9522,0.90441,0.5244,1,0.94092,0.0013965,0.0013965,0.0013965
4,45.5463,0.88889,0.54143,1,0.86597,0.00138656,0.00138656,0.00138656
5,56.1936,0.90423,0.52781,1,0.88086,0.00137241,0.00137241,0.00137241
6,67.536,0.88809,0.55505,1,0.86028,0.00135826,0.00135826,0.00135826
7,79.8457,0.89347,0.53802,1,0.87831,0.00134412,0.00134412,0.00134412
8,90.7669,0.88618,0.56867,1,0.85979,0.00132997,0.00132997,0.00132997
9,102.007,0.87854,0.563,1,0.86802,0.00131582,0.00131582,0.00131582
10,113.487,0.86826,0.57208,1,0.85083,0.00130168,0.00130168,0.00130168
11,124.267,0.86906,0.60386,1,0.83681,0.00128753,0.00128753,0.00128753
12,135.675,0.86657,0.5664,1,0.91954,0.00127338,0.00127338,0.00127338
13,147.04,0.87693,0.55959,1,0.87413,0.00125923,0.00125923,0.00125923
14,158.508,0.86173,0.56527,1,0.84623,0.00124509,0.00124509,0.00124509
15,170.136,0.85331,0.57662,1,0.86743,0.00123094,0.00123094,0.00123094
16,181.661,0.86284,0.57435,1,0.83426,0.00121679,0.00121679,0.00121679
17,193.466,0.84407,0.5857,1,0.8591,0.00120265,0.00120265,0.00120265
18,205.411,0.86446,0.58002,1,0.82411,0.0011885,0.0011885,0.0011885
19,217.304,0.83734,0.57094,1,0.85582,0.00117435,0.00117435,0.00117435
20,228.89,0.84579,0.5891,1,0.81669,0.00116021,0.00116021,0.00116021
21,240.744,0.83558,0.53008,1,0.91968,0.00114606,0.00114606,0.00114606
22,252.426,0.84245,0.58116,1,0.83517,0.00113191,0.00113191,0.00113191
23,264.202,0.85444,0.56867,1,0.87141,0.00111776,0.00111776,0.00111776
24,275.772,0.847,0.57889,1,0.85557,0.00110362,0.00110362,0.00110362
25,287.387,0.82649,0.60272,1,0.8254,0.00108947,0.00108947,0.00108947
26,299.636,0.83163,0.60159,1,0.81993,0.00107532,0.00107532,0.00107532
27,310.955,0.82791,0.56867,1,0.85372,0.00106118,0.00106118,0.00106118
28,322.98,0.82016,0.61521,1,0.81166,0.00104703,0.00104703,0.00104703
29,335.005,0.81829,0.60613,1,0.82533,0.00103288,0.00103288,0.00103288
30,346.843,0.83123,0.60953,1,0.81742,0.00101873,0.00101873,0.00101873
31,358.885,0.82462,0.61521,1,0.84072,0.00100459,0.00100459,0.00100459
32,371.212,0.81579,0.62316,1,0.78488,0.00099044,0.00099044,0.00099044
33,383.477,0.80334,0.6277,1,0.79534,0.000976293,0.000976293,0.000976293
34,395.819,0.82794,0.62543,1,0.80636,0.000962146,0.000962146,0.000962146
35,408.105,0.79818,0.63564,1,0.77999,0.000947999,0.000947999,0.000947999
36,420.155,0.80308,0.59364,1,0.81655,0.000933851,0.000933851,0.000933851
