epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.01,0.55514,0.67764,1,0.7387,0.000468394,0.000468394,0.000468394
2,30.4361,0.61317,0.66969,1,0.85693,0.000935375,0.000935375,0.000935375
3,41.6637,0.67796,0.66969,1,0.78516,0.00139292,0.00139292,0.00139292
4,51.5191,0.70755,0.64699,1,0.79318,0.00138656,0.00138656,0.00138656
5,60.792,0.71728,0.66175,1,0.77937,0.00137241,0.00137241,0.00137241
6,70.1065,0.69448,0.62543,1,0.7772,0.00135826,0.00135826,0.00135826
7,79.3973,0.69205,0.58797,1,0.82708,0.00134412,0.00134412,0.00134412
8,88.606,0.68964,0.66969,1,0.7463,0.00132997,0.00132997,0.00132997
9,98.1289,0.6981,0.66402,1,0.7507,0.00131582,0.00131582,0.00131582
10,107.772,0.67715,0.62656,1,nan,0.00130168,0.00130168,0.00130168
11,117.512,0.67112,0.65153,1,0.76451,0.00128753,0.00128753,0.00128753
12,127.161,0.6741,0.66402,1,0.74874,0.00127338,0.00127338,0.00127338
13,136.647,0.68514,0.66175,1,nan,0.00125923,0.00125923,0.00125923
14,146.473,0.65219,0.66629,1,0.81557,0.00124509,0.00124509,0.00124509
15,156.194,0.63431,0.64926,1,0.85735,0.00123094,0.00123094,0.00123094
16,166,0.63303,0.65607,1,0.7892,0.00121679,0.00121679,0.00121679
17,175.799,0.65262,0.65948,1,0.85296,0.00120265,0.00120265,0.00120265
18,185.532,0.64604,0.64359,1,0.8524,0.0011885,0.0011885,0.0011885
19,195.659,0.62149,0.69807,1,0.7177,0.00117435,0.00117435,0.00117435
20,205.25,0.65835,0.65834,1,0.8185,0.00116021,0.00116021,0.00116021
21,214.576,0.61972,0.69467,1,0.74519,0.00114606,0.00114606,0.00114606
22,223.946,0.61866,0.68331,1,0.79646,0.00113191,0.00113191,0.00113191
23,233.239,0.63743,0.66288,1,nan,0.00111776,0.00111776,0.00111776
24,242.553,0.63327,0.6731,1,0.75774,0.00110362,0.00110362,0.00110362
25,252.027,0.61517,0.70375,1,0.75544,0.00108947,0.00108947,0.00108947
26,261.422,0.59852,0.67991,1,0.84061,0.00107532,0.00107532,0.00107532
27,270.841,0.60316,0.67196,1,nan,0.00106118,0.00106118,0.00106118
28,280.218,0.57892,0.67423,1,0.79967,0.00104703,0.00104703,0.00104703
29,289.617,0.57852,0.6311,1,0.84242,0.00103288,0.00103288,0.00103288
30,298.978,0.57803,0.65607,1,nan,0.00101873,0.00101873,0.00101873
31,308.398,0.57686,0.65834,1,nan,0.00100459,0.00100459,0.00100459
32,317.842,0.5582,0.69126,1,0.79897,0.00099044,0.00099044,0.00099044
33,327.234,0.55208,0.69694,1,0.72021,0.000976293,0.000976293,0.000976293
34,336.665,0.54089,0.69012,1,nan,0.000962146,0.000962146,0.000962146
35,346.091,0.55541,0.69807,1,nan,0.000947999,0.000947999,0.000947999
36,355.525,0.52681,0.67764,1,0.80253,0.000933851,0.000933851,0.000933851
37,365.001,0.52595,0.66856,1,nan,0.000919704,0.000919704,0.000919704
38,374.495,0.53193,0.70148,1,nan,0.000905557,0.000905557,0.000905557
39,384.097,0.50445,0.68672,1,0.78836,0.00089141,0.00089141,0.00089141
40,393.895,0.49573,0.64586,1,0.89425,0.000877263,0.000877263,0.000877263
41,403.526,0.47277,0.69921,1,0.81501,0.000863116,0.000863116,0.000863116
42,413.044,0.48915,0.68785,1,nan,0.000848969,0.000848969,0.000848969
43,422.553,0.47762,0.68785,1,nan,0.000834822,0.000834822,0.000834822
44,432.085,0.49075,0.70488,1,nan,0.000820675,0.000820675,0.000820675
45,441.716,0.46089,0.69126,1,nan,0.000806528,0.000806528,0.000806528
46,451.248,0.45755,0.69467,1,nan,0.00079238,0.00079238,0.00079238
47,461.048,0.46671,0.6538,1,nan,0.000778233,0.000778233,0.000778233
48,470.675,0.4569,0.6924,1,nan,0.000764086,0.000764086,0.000764086
49,480.286,0.42356,0.68785,1,0.85784,0.000749939,0.000749939,0.000749939
50,489.86,0.43783,0.68785,1,0.8427,0.000735792,0.000735792,0.000735792
51,499.742,0.42325,0.69807,1,0.81613,0.000721645,0.000721645,0.000721645
52,509.565,0.41704,0.7185,1,0.79932,0.000707498,0.000707498,0.000707498
53,519.18,0.40419,0.69467,1,0.81543,0.000693351,0.000693351,0.000693351
54,528.789,0.39752,0.70829,1,0.83901,0.000679204,0.000679204,0.000679204
55,538.705,0.41219,0.70602,1,0.82303,0.000665057,0.000665057,0.000665057
56,548.363,0.38145,0.71283,1,0.87974,0.000650909,0.000650909,0.000650909
57,557.89,0.38707,0.68104,1,0.90869,0.000636762,0.000636762,0.000636762
58,567.458,0.38055,0.70602,1,0.8427,0.000622615,0.000622615,0.000622615
59,577.041,0.37871,0.69807,1,0.79911,0.000608468,0.000608468,0.000608468
60,586.634,0.34847,0.6958,1,0.88839,0.000594321,0.000594321,0.000594321
61,596.392,0.36165,0.71964,1,0.8411,0.000580174,0.000580174,0.000580174
62,606.068,0.33655,0.69353,1,0.83447,0.000566027,0.000566027,0.000566027
63,615.74,0.35019,0.71169,1,0.81543,0.00055188,0.00055188,0.00055188
64,625.628,0.3381,0.72077,1,0.81975,0.000537733,0.000537733,0.000537733
65,636.755,0.32401,0.71964,1,0.83594,0.000523586,0.000523586,0.000523586
66,646.801,0.31095,0.71283,1,0.85958,0.000509438,0.000509438,0.000509438
67,656.38,0.31124,0.72304,1,0.82806,0.000495291,0.000495291,0.000495291
68,665.955,0.31279,0.70942,1,0.89641,0.000481144,0.000481144,0.000481144
69,675.465,0.30143,0.72531,1,0.83092,0.000466997,0.000466997,0.000466997
70,685.001,0.29527,0.7185,1,0.87235,0.00045285,0.00045285,0.00045285
71,694.535,0.30943,0.70715,1,0.83398,0.000438703,0.000438703,0.000438703
72,704.045,0.27286,0.73099,1,0.84263,0.000424556,0.000424556,0.000424556
73,713.678,0.29411,0.72077,1,0.83824,0.000410409,0.000410409,0.000410409
74,723.266,0.27492,0.72418,1,0.86258,0.000396262,0.000396262,0.000396262
75,732.918,0.26953,0.72985,1,0.84354,0.000382115,0.000382115,0.000382115
76,742.594,0.26586,0.72985,1,0.88902,0.000367967,0.000367967,0.000367967
77,752.207,0.25181,0.73893,1,0.91469,0.00035382,0.00035382,0.00035382
78,761.841,0.25495,0.72418,1,0.92181,0.000339673,0.000339673,0.000339673
79,771.45,0.25485,0.73893,1,0.93039,0.000325526,0.000325526,0.000325526
80,781.214,0.25535,0.7185,1,0.87465,0.000311379,0.000311379,0.000311379
81,790.894,0.25007,0.73099,1,0.90206,0.000297232,0.000297232,0.000297232
82,800.498,0.23634,0.7185,1,0.93841,0.000283085,0.000283085,0.000283085
83,810.16,0.22282,0.73666,1,0.90011,0.000268938,0.000268938,0.000268938
84,819.864,0.23738,0.73326,1,0.92564,0.000254791,0.000254791,0.000254791
85,829.6,0.21911,0.73666,1,0.94245,0.000240644,0.000240644,0.000240644
86,839.439,0.20964,0.72872,1,0.96024,0.000226497,0.000226497,0.000226497
87,849.11,0.21631,0.73099,1,0.97656,0.000212349,0.000212349,0.000212349
88,858.839,0.22195,0.72645,1,0.98668,0.000198202,0.000198202,0.000198202
89,868.582,0.21569,0.72645,1,0.96966,0.000184055,0.000184055,0.000184055
90,878.281,0.21525,0.73439,1,0.97824,0.000169908,0.000169908,0.000169908
91,919.561,0.20409,0.73439,1,0.99902,0.000155761,0.000155761,0.000155761
92,928.817,0.18644,0.72531,1,0.98472,0.000141614,0.000141614,0.000141614
93,938.043,0.19785,0.72985,1,1.01095,0.000127467,0.000127467,0.000127467
94,947.405,0.1943,0.73212,1,0.99916,0.00011332,0.00011332,0.00011332
95,956.816,0.18769,0.73099,1,1.00718,9.91726e-05,9.91726e-05,9.91726e-05
96,966.074,0.17946,0.72645,1,1.03892,8.50255e-05,8.50255e-05,8.50255e-05
97,975.424,0.18558,0.72872,1,0.99888,7.08784e-05,7.08784e-05,7.08784e-05
98,984.855,0.18529,0.72645,1,0.99051,5.67313e-05,5.67313e-05,5.67313e-05
99,994.377,0.18062,0.73212,1,0.99051,4.25842e-05,4.25842e-05,4.25842e-05
100,1003.88,0.17408,0.73326,1,0.99037,2.84371e-05,2.84371e-05,2.84371e-05
