epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.8515,0.92273,0.58683,1,0.86035,0.0002858,0.0002858,0.0002858
2,55.3547,0.80501,0.59137,1,0.82487,0.000583957,0.000583957,0.000583957
3,81.9769,0.7894,0.56754,1,1.0472,0.000880133,0.000880133,0.000880133
4,106.933,0.79447,0.60613,1,0.85482,0.00117433,0.00117433,0.00117433
5,133.061,0.81661,0.60499,1,1.01937,0.00141014,0.00141014,0.00141014
6,160.39,0.80808,0.57775,1,0.94661,0.00140542,0.00140542,0.00140542
7,185.955,0.78138,0.61635,1,0.88851,0.00140071,0.00140071,0.00140071
8,210.582,0.75523,0.54824,1,0.95638,0.00139599,0.00139599,0.00139599
9,236.009,0.74761,0.67196,1,0.77767,0.00139127,0.00139127,0.00139127
10,261.271,0.69746,0.61521,1,0.92122,0.00138656,0.00138656,0.00138656
11,287.13,0.65508,0.67764,1,0.75,0.00138184,0.00138184,0.00138184
12,311.869,0.67036,0.63905,1,0.84505,0.00137713,0.00137713,0.00137713
13,337.387,0.65537,0.6924,1,0.74398,0.00137241,0.00137241,0.00137241
14,361.96,0.64205,0.67196,1,0.81657,0.0013677,0.0013677,0.0013677
15,388.46,0.61984,0.72304,1,0.66732,0.00136298,0.00136298,0.00136298
16,413.485,0.60122,0.67877,1,0.7998,0.00135826,0.00135826,0.00135826
17,439.054,0.58371,0.69353,1,0.7666,0.00135355,0.00135355,0.00135355
18,464.121,0.5752,0.65267,1,0.8182,0.00134883,0.00134883,0.00134883
19,489.719,0.56229,0.64472,1,0.82194,0.00134412,0.00134412,0.00134412
20,514.8,0.54596,0.72985,1,0.63639,0.0013394,0.0013394,0.0013394
21,540.139,0.53186,0.69353,1,0.79574,0.00133469,0.00133469,0.00133469
22,564.504,0.53566,0.70034,1,0.69873,0.00132997,0.00132997,0.00132997
23,591.63,0.52712,0.67991,1,0.78727,0.00132525,0.00132525,0.00132525
24,615.735,0.49261,0.71396,1,0.74202,0.00132054,0.00132054,0.00132054
25,641.665,0.47639,0.72418,1,0.65658,0.00131582,0.00131582,0.00131582
26,667.028,0.46836,0.68785,1,0.84912,0.00131111,0.00131111,0.00131111
27,693.035,0.47623,0.70942,1,0.86442,0.00130639,0.00130639,0.00130639
28,719.595,0.4799,0.66515,1,0.8208,0.00130168,0.00130168,0.00130168
29,745.578,0.42628,0.72077,1,0.70215,0.00129696,0.00129696,0.00129696
30,772.25,0.43921,0.74574,1,0.68197,0.00129224,0.00129224,0.00129224
31,797.185,0.41861,0.73212,1,0.65723,0.00128753,0.00128753,0.00128753
32,824.64,0.38914,0.71396,1,0.72917,0.00128281,0.00128281,0.00128281
33,849.731,0.39499,0.7412,1,0.69531,0.0012781,0.0012781,0.0012781
34,876.216,0.38448,0.7378,1,0.67301,0.00127338,0.00127338,0.00127338
35,901.87,0.3648,0.76163,1,0.66146,0.00126867,0.00126867,0.00126867
36,928.279,0.34831,0.78547,1,0.61865,0.00126395,0.00126395,0.00126395
37,953.87,0.33432,0.75028,1,0.65007,0.00125923,0.00125923,0.00125923
38,980.115,0.33754,0.69807,1,0.78385,0.00125452,0.00125452,0.00125452
39,1005.71,0.31856,0.71737,1,0.75114,0.0012498,0.0012498,0.0012498
40,1033.7,0.31808,0.71737,1,0.89583,0.00124509,0.00124509,0.00124509
41,1059.06,0.31083,0.68899,1,0.93359,0.00124037,0.00124037,0.00124037
42,1085.61,0.31641,0.70942,1,1.08919,0.00123566,0.00123566,0.00123566
43,1111.56,0.30655,0.72872,1,0.81624,0.00123094,0.00123094,0.00123094
44,1138.37,0.30694,0.74007,1,0.77865,0.00122622,0.00122622,0.00122622
45,1164.39,0.26213,0.74347,1,0.79818,0.00122151,0.00122151,0.00122151
46,1191.38,0.2995,0.7378,1,0.9502,0.00121679,0.00121679,0.00121679
47,1216.55,0.26992,0.77185,1,0.73177,0.00121208,0.00121208,0.00121208
48,1242.56,0.27186,0.72872,1,0.78092,0.00120736,0.00120736,0.00120736
49,1268.74,0.25111,0.75369,1,0.72087,0.00120265,0.00120265,0.00120265
50,1294.34,0.24101,0.74007,1,0.82585,0.00119793,0.00119793,0.00119793
51,1319.83,0.23929,0.77639,1,0.71273,0.00119322,0.00119322,0.00119322
52,1345.75,0.22616,0.76617,1,0.79785,0.0011885,0.0011885,0.0011885
53,1371.57,0.22622,0.74007,1,0.78662,0.00118378,0.00118378,0.00118378
54,1397.58,0.23124,0.76277,1,0.75277,0.00117907,0.00117907,0.00117907
55,1422.95,0.22339,0.78093,1,0.6241,0.00117435,0.00117435,0.00117435
56,1448.83,0.21668,0.7639,1,0.72835,0.00116964,0.00116964,0.00116964
57,1475.37,0.21648,0.7605,1,0.85579,0.00116492,0.00116492,0.00116492
58,1501.99,0.22766,0.75482,1,0.74447,0.00116021,0.00116021,0.00116021
59,1525.92,0.21377,0.8025,1,0.64144,0.00115549,0.00115549,0.00115549
60,1551.29,0.17145,0.77299,1,0.72998,0.00115077,0.00115077,0.00115077
61,1576.26,0.18321,0.76163,1,0.73291,0.00114606,0.00114606,0.00114606
62,1602.81,0.19066,0.7605,1,0.85856,0.00114134,0.00114134,0.00114134
63,1627.84,0.18038,0.79909,1,0.74105,0.00113663,0.00113663,0.00113663
64,1653.73,0.19991,0.77299,1,0.76188,0.00113191,0.00113191,0.00113191
65,1680,0.15281,0.79001,1,0.72249,0.0011272,0.0011272,0.0011272
66,1707.99,0.14721,0.75369,1,0.87956,0.00112248,0.00112248,0.00112248
67,1733.71,0.15556,0.7639,1,0.82764,0.00111776,0.00111776,0.00111776
68,1760.71,0.17614,0.78774,1,0.65967,0.00111305,0.00111305,0.00111305
69,1787.71,0.15421,0.76277,1,0.80371,0.00110833,0.00110833,0.00110833
70,1815.25,0.13919,0.8025,1,0.57992,0.00110362,0.00110362,0.00110362
71,1841.71,0.13535,0.80477,1,0.69092,0.0010989,0.0010989,0.0010989
72,1868.46,0.1347,0.77072,1,0.74479,0.00109419,0.00109419,0.00109419
73,1894.12,0.14804,0.76163,1,0.82145,0.00108947,0.00108947,0.00108947
74,1921.74,0.14157,0.79682,1,0.71338,0.00108475,0.00108475,0.00108475
75,1946.96,0.15953,0.7605,1,0.9209,0.00108004,0.00108004,0.00108004
76,1974,0.12701,0.79796,1,0.67025,0.00107532,0.00107532,0.00107532
77,2000.13,0.13491,0.78547,1,0.73145,0.00107061,0.00107061,0.00107061
78,2026.65,0.11446,0.80704,1,0.69531,0.00106589,0.00106589,0.00106589
79,2052.77,0.14556,0.77639,1,0.83024,0.00106118,0.00106118,0.00106118
80,2079.05,0.14214,0.80817,1,0.64974,0.00105646,0.00105646,0.00105646
81,2105.51,0.12782,0.82633,1,0.63721,0.00105174,0.00105174,0.00105174
82,2131.74,0.1017,0.81498,1,0.64486,0.00104703,0.00104703,0.00104703
83,2160.42,0.11878,0.79796,1,0.73665,0.00104231,0.00104231,0.00104231
84,2187.03,0.11252,0.80477,1,0.67676,0.0010376,0.0010376,0.0010376
85,2214.01,0.12629,0.7832,1,0.7487,0.00103288,0.00103288,0.00103288
86,2241.12,0.1138,0.81271,1,0.66016,0.00102817,0.00102817,0.00102817
87,2268.02,0.09644,0.78661,1,0.71061,0.00102345,0.00102345,0.00102345
88,2295.65,0.11703,0.77866,1,0.72998,0.00101873,0.00101873,0.00101873
