epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.37816,0.96896,0.55846,1,0.89076,0.000468394,0.000468394,0.000468394
2,13.9791,0.8625,0.59364,1,0.83936,0.000935375,0.000935375,0.000935375
3,18.4646,0.91205,0.46084,1,1.02651,0.00139292,0.00139292,0.00139292
4,23.7222,0.90198,0.52781,1,0.93262,0.00138656,0.00138656,0.00138656
5,28.8227,0.86358,0.60726,1,0.85393,0.00137241,0.00137241,0.00137241
6,33.5282,0.83816,0.59478,1,0.83224,0.00135826,0.00135826,0.00135826
7,38.3511,0.82537,0.60953,1,0.79004,0.00134412,0.00134412,0.00134412
8,43.0295,0.81211,0.57321,1,0.8893,0.00132997,0.00132997,0.00132997
9,47.7442,0.79517,0.61862,1,0.81138,0.00131582,0.00131582,0.00131582
10,52.3134,0.7919,0.60953,1,0.81843,0.00130168,0.00130168,0.00130168
11,56.9772,0.76281,0.63451,1,0.78446,0.00128753,0.00128753,0.00128753
12,61.7103,0.76974,0.61862,1,0.78739,0.00127338,0.00127338,0.00127338
13,66.5613,0.75048,0.65721,1,0.75042,0.00125923,0.00125923,0.00125923
14,71.5709,0.7285,0.59024,1,0.93318,0.00124509,0.00124509,0.00124509
15,76.5921,0.73298,0.60272,1,0.95529,0.00123094,0.00123094,0.00123094
16,81.5162,0.71684,0.61067,1,0.83838,0.00121679,0.00121679,0.00121679
17,86.4292,0.7124,0.61975,1,0.78732,0.00120265,0.00120265,0.00120265
18,91.32,0.70056,0.66856,1,0.7327,0.0011885,0.0011885,0.0011885
19,96.2768,0.68937,0.64926,1,0.7749,0.00117435,0.00117435,0.00117435
20,101.882,0.68459,0.68331,1,0.72642,0.00116021,0.00116021,0.00116021
21,106.991,0.65134,0.67537,1,0.74156,0.00114606,0.00114606,0.00114606
22,111.918,0.65913,0.68331,1,0.73277,0.00113191,0.00113191,0.00113191
23,116.882,0.64364,0.63678,1,0.90723,0.00111776,0.00111776,0.00111776
24,121.923,0.64232,0.67083,1,0.74498,0.00110362,0.00110362,0.00110362
25,126.862,0.62207,0.68785,1,0.71673,0.00108947,0.00108947,0.00108947
26,132.025,0.61181,0.71396,1,0.66964,0.00107532,0.00107532,0.00107532
27,137.035,0.60575,0.67991,1,0.72287,0.00106118,0.00106118,0.00106118
28,142.079,0.59304,0.6958,1,0.68283,0.00104703,0.00104703,0.00104703
29,147.168,0.58501,0.69126,1,0.68115,0.00103288,0.00103288,0.00103288
30,152.098,0.56975,0.70829,1,0.67257,0.00101873,0.00101873,0.00101873
31,157.204,0.55076,0.71396,1,0.67878,0.00100459,0.00100459,0.00100459
32,162.221,0.54043,0.74007,1,0.67885,0.00099044,0.00099044,0.00099044
