epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.42695,0.96733,0.52554,1,0.93792,0.000468394,0.000468394,0.000468394
2,11.6934,0.85687,0.56754,1,0.89425,0.000935375,0.000935375,0.000935375
3,16.6888,0.90403,0.48241,1,1.12821,0.00139292,0.00139292,0.00139292
4,21.4984,0.89736,0.5244,1,1.11844,0.00138656,0.00138656,0.00138656
5,26.3872,0.86944,0.59024,1,0.86377,0.00137241,0.00137241,0.00137241
6,31.3439,0.84393,0.57094,1,0.92453,0.00135826,0.00135826,0.00135826
7,36.1742,0.82335,0.50738,1,0.96624,0.00134412,0.00134412,0.00134412
8,41.0623,0.80925,0.60272,1,0.81285,0.00132997,0.00132997,0.00132997
9,47.2678,0.8043,0.60499,1,0.80936,0.00131582,0.00131582,0.00131582
10,52.4657,0.79697,0.6118,1,0.79534,0.00130168,0.00130168,0.00130168
11,57.5454,0.7871,0.6118,1,0.80329,0.00128753,0.00128753,0.00128753
12,62.7546,0.77588,0.61748,1,0.79681,0.00127338,0.00127338,0.00127338
13,68.0112,0.76485,0.62202,1,0.82206,0.00125923,0.00125923,0.00125923
14,73.0811,0.75541,0.60613,1,0.82561,0.00124509,0.00124509,0.00124509
15,78.2591,0.73663,0.64132,1,0.83782,0.00123094,0.00123094,0.00123094
16,83.3314,0.74441,0.61748,1,0.77616,0.00121679,0.00121679,0.00121679
17,88.4128,0.74949,0.60726,1,0.84396,0.00120265,0.00120265,0.00120265
18,93.5917,0.72126,0.62656,1,0.82289,0.0011885,0.0011885,0.0011885
19,98.7524,0.69804,0.53462,1,0.96338,0.00117435,0.00117435,0.00117435
20,103.992,0.70621,0.66061,1,0.77867,0.00116021,0.00116021,0.00116021
21,109.085,0.67834,0.6538,1,0.74191,0.00114606,0.00114606,0.00114606
22,114.225,0.68308,0.6118,1,0.89976,0.00113191,0.00113191,0.00113191
23,119.509,0.66655,0.63905,1,0.81285,0.00111776,0.00111776,0.00111776
24,124.694,0.63934,0.68785,1,0.72294,0.00110362,0.00110362,0.00110362
25,129.981,0.64184,0.69012,1,0.72963,0.00108947,0.00108947,0.00108947
26,135.228,0.60399,0.63337,1,0.79729,0.00107532,0.00107532,0.00107532
27,140.343,0.62024,0.64926,1,0.7742,0.00106118,0.00106118,0.00106118
28,145.614,0.60283,0.67764,1,0.69866,0.00104703,0.00104703,0.00104703
29,150.851,0.58456,0.68672,1,0.80769,0.00103288,0.00103288,0.00103288
30,156.03,0.57764,0.66175,1,0.85449,0.00101873,0.00101873,0.00101873
31,161.27,0.57492,0.69921,1,0.7071,0.00100459,0.00100459,0.00100459
32,166.635,0.55535,0.67537,1,0.71143,0.00099044,0.00099044,0.00099044
