epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.9803,0.93753,0.54597,1,0.91863,0.000472042,0.000472042,0.000472042
2,18.2401,0.93574,0.56754,1,1.11851,0.000938986,0.000938986,0.000938986
3,25.2855,0.88593,0.52213,1,0.87287,0.0013965,0.0013965,0.0013965
4,34.5462,0.87014,0.55505,1,0.85774,0.00138656,0.00138656,0.00138656
5,43.1809,0.866,0.58683,1,0.83782,0.00137241,0.00137241,0.00137241
6,50.1578,0.85371,0.59251,1,0.82509,0.00135826,0.00135826,0.00135826
7,57.1549,0.86137,0.57775,1,0.83869,0.00134412,0.00134412,0.00134412
8,64.2679,0.85025,0.59024,1,0.84392,0.00132997,0.00132997,0.00132997
9,71.4999,0.84281,0.58683,1,0.8547,0.00131582,0.00131582,0.00131582
10,78.4712,0.82564,0.59137,1,0.81487,0.00130168,0.00130168,0.00130168
11,86.3672,0.82847,0.60386,1,0.80971,0.00128753,0.00128753,0.00128753
12,93.3535,0.83288,0.61635,1,0.80137,0.00127338,0.00127338,0.00127338
13,99.9645,0.84334,0.57321,1,0.84134,0.00125923,0.00125923,0.00125923
14,106.601,0.82221,0.62429,1,0.81187,0.00124509,0.00124509,0.00124509
15,113.452,0.8167,0.61407,1,0.78906,0.00123094,0.00123094,0.00123094
16,120.232,0.80673,0.59251,1,0.85327,0.00121679,0.00121679,0.00121679
17,127.016,0.7807,0.62883,1,0.808,0.00120265,0.00120265,0.00120265
18,133.655,0.78623,0.61067,1,0.80465,0.0011885,0.0011885,0.0011885
19,140.689,0.78813,0.57435,1,0.84274,0.00117435,0.00117435,0.00117435
20,147.68,0.7827,0.61748,1,0.80483,0.00116021,0.00116021,0.00116021
21,154.456,0.76411,0.58797,1,0.84605,0.00114606,0.00114606,0.00114606
22,161.272,0.75987,0.62997,1,0.82701,0.00113191,0.00113191,0.00113191
23,168.201,0.76787,0.61975,1,0.8162,0.00111776,0.00111776,0.00111776
24,175.223,0.75787,0.62202,1,0.8102,0.00110362,0.00110362,0.00110362
25,182.367,0.75919,0.62089,1,0.81442,0.00108947,0.00108947,0.00108947
26,189.257,0.74093,0.67196,1,0.72935,0.00107532,0.00107532,0.00107532
27,196.205,0.71994,0.66061,1,0.75443,0.00106118,0.00106118,0.00106118
28,203.243,0.74469,0.67423,1,0.72503,0.00104703,0.00104703,0.00104703
29,210.249,0.72895,0.64586,1,0.76761,0.00103288,0.00103288,0.00103288
30,217.227,0.72011,0.67764,1,0.75153,0.00101873,0.00101873,0.00101873
31,224.151,0.71552,0.67083,1,0.72328,0.00100459,0.00100459,0.00100459
32,231.21,0.68667,0.67423,1,0.73064,0.00099044,0.00099044,0.00099044
33,238.383,0.68587,0.70148,1,0.72011,0.000976293,0.000976293,0.000976293
34,245.452,0.66767,0.6731,1,0.74571,0.000962146,0.000962146,0.000962146
35,252.413,0.67118,0.67764,1,0.73507,0.000947999,0.000947999,0.000947999
36,259.459,0.6577,0.68218,1,0.7326,0.000933851,0.000933851,0.000933851
37,266.61,0.64267,0.70034,1,0.71132,0.000919704,0.000919704,0.000919704
38,273.748,0.6262,0.71396,1,0.69674,0.000905557,0.000905557,0.000905557
39,281.071,0.62923,0.71283,1,0.69547,0.00089141,0.00089141,0.00089141
40,288.333,0.6463,0.6924,1,0.73568,0.000877263,0.000877263,0.000877263
41,295.495,0.62807,0.70148,1,0.68452,0.000863116,0.000863116,0.000863116
42,302.643,0.62219,0.70375,1,0.69925,0.000848969,0.000848969,0.000848969
43,309.879,0.60962,0.68785,1,0.71959,0.000834822,0.000834822,0.000834822
44,317.191,0.58717,0.7151,1,0.65292,0.000820675,0.000820675,0.000820675
45,324.394,0.57575,0.70148,1,0.68178,0.000806528,0.000806528,0.000806528
46,331.389,0.57172,0.70602,1,0.71997,0.00079238,0.00079238,0.00079238
47,338.583,0.54684,0.72304,1,0.64769,0.000778233,0.000778233,0.000778233
48,345.886,0.55555,0.72191,1,0.68597,0.000764086,0.000764086,0.000764086
49,353.111,0.55178,0.73553,1,0.65628,0.000749939,0.000749939,0.000749939
50,360.452,0.53719,0.7378,1,0.65037,0.000735792,0.000735792,0.000735792
51,367.482,0.5509,0.74347,1,0.64,0.000721645,0.000721645,0.000721645
52,374.635,0.52921,0.73439,1,0.66052,0.000707498,0.000707498,0.000707498
53,382.006,0.51176,0.72645,1,0.66875,0.000693351,0.000693351,0.000693351
54,389.192,0.50756,0.74574,1,0.63679,0.000679204,0.000679204,0.000679204
55,396.31,0.49306,0.73553,1,0.64192,0.000665057,0.000665057,0.000665057
56,403.285,0.4823,0.74234,1,0.64718,0.000650909,0.000650909,0.000650909
57,410.847,0.47509,0.76277,1,0.61096,0.000636762,0.000636762,0.000636762
58,418.392,0.46303,0.75482,1,0.6114,0.000622615,0.000622615,0.000622615
59,425.589,0.45721,0.7412,1,0.6473,0.000608468,0.000608468,0.000608468
60,432.881,0.45927,0.7605,1,0.60641,0.000594321,0.000594321,0.000594321
61,440.402,0.44183,0.74915,1,0.63299,0.000580174,0.000580174,0.000580174
62,447.826,0.41872,0.74801,1,0.63328,0.000566027,0.000566027,0.000566027
63,455.208,0.41763,0.75482,1,0.68237,0.00055188,0.00055188,0.00055188
64,462.326,0.41493,0.73893,1,0.64267,0.000537733,0.000537733,0.000537733
65,469.745,0.42459,0.7605,1,0.64725,0.000523586,0.000523586,0.000523586
66,477.172,0.40028,0.75255,1,0.67004,0.000509438,0.000509438,0.000509438
67,484.5,0.37935,0.74688,1,0.68352,0.000495291,0.000495291,0.000495291
68,491.508,0.39791,0.75936,1,0.65008,0.000481144,0.000481144,0.000481144
69,498.612,0.35271,0.75482,1,0.64476,0.000466997,0.000466997,0.000466997
70,505.913,0.3594,0.77185,1,0.66241,0.00045285,0.00045285,0.00045285
71,513.145,0.3522,0.77185,1,0.62728,0.000438703,0.000438703,0.000438703
72,520.23,0.35426,0.7639,1,0.63412,0.000424556,0.000424556,0.000424556
73,527.412,0.34249,0.76504,1,0.64744,0.000410409,0.000410409,0.000410409
74,534.764,0.3411,0.77412,1,0.63429,0.000396262,0.000396262,0.000396262
75,542.328,0.29512,0.75482,1,0.70358,0.000382115,0.000382115,0.000382115
76,549.547,0.3034,0.76504,1,0.67029,0.000367967,0.000367967,0.000367967
77,556.766,0.3205,0.75596,1,0.67278,0.00035382,0.00035382,0.00035382
78,564.124,0.29453,0.77072,1,0.67733,0.000339673,0.000339673,0.000339673
79,571.409,0.28086,0.77526,1,0.66825,0.000325526,0.000325526,0.000325526
80,578.595,0.28667,0.78434,1,0.6603,0.000311379,0.000311379,0.000311379
81,585.906,0.2936,0.76731,1,0.63159,0.000297232,0.000297232,0.000297232
82,593.523,0.2605,0.78661,1,0.69523,0.000283085,0.000283085,0.000283085
83,602.45,0.24586,0.78093,1,0.68663,0.000268938,0.000268938,0.000268938
84,610.402,0.2484,0.78093,1,0.66213,0.000254791,0.000254791,0.000254791
