epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.7291,0.90246,0.58116,1,0.84998,0.00038583,0.00038583,0.00038583
2,33.1772,0.81563,0.62883,1,0.81396,0.000783356,0.000783356,0.000783356
3,47.8066,0.89929,0.44041,1,2.09644,0.00117824,0.00117824,0.00117824
4,62.2719,0.89533,0.437,1,1.55591,0.00141485,0.00141485,0.00141485
5,76.793,0.90333,0.53689,1,0.9093,0.00141014,0.00141014,0.00141014
6,91.4224,0.87898,0.54143,1,0.88818,0.00140542,0.00140542,0.00140542
7,106.122,0.86433,0.53802,1,0.96399,0.00140071,0.00140071,0.00140071
8,120.847,0.85757,0.57889,1,0.9104,0.00139599,0.00139599,0.00139599
9,135.568,0.85537,0.57889,1,0.93164,0.00139127,0.00139127,0.00139127
10,150.223,0.8593,0.55505,1,0.84998,0.00138656,0.00138656,0.00138656
11,164.804,0.85441,0.57548,1,0.83374,0.00138184,0.00138184,0.00138184
12,179.594,0.83997,0.57548,1,0.84497,0.00137713,0.00137713,0.00137713
13,194.233,0.84471,0.58229,1,0.85498,0.00137241,0.00137241,0.00137241
14,208.906,0.83078,0.61407,1,0.85498,0.0013677,0.0013677,0.0013677
15,223.576,0.82472,0.59024,1,0.82312,0.00136298,0.00136298,0.00136298
16,238.229,0.81412,0.56981,1,0.90247,0.00135826,0.00135826,0.00135826
17,252.849,0.79707,0.60726,1,0.87146,0.00135355,0.00135355,0.00135355
18,267.532,0.81798,0.57889,1,0.84058,0.00134883,0.00134883,0.00134883
19,282.583,0.80921,0.61521,1,0.85437,0.00134412,0.00134412,0.00134412
20,297.238,0.80145,0.62202,1,0.79602,0.0013394,0.0013394,0.0013394
21,311.917,0.79362,0.60386,1,0.90906,0.00133469,0.00133469,0.00133469
22,326.608,0.77419,0.63337,1,0.79834,0.00132997,0.00132997,0.00132997
23,341.481,0.82846,0.54938,1,1.0022,0.00132525,0.00132525,0.00132525
24,356.147,0.80243,0.62997,1,1.04126,0.00132054,0.00132054,0.00132054
25,370.793,0.79286,0.64472,1,0.81677,0.00131582,0.00131582,0.00131582
26,385.633,0.79502,0.63451,1,0.80798,0.00131111,0.00131111,0.00131111
27,400.263,0.76419,0.65267,1,0.74646,0.00130639,0.00130639,0.00130639
28,415.088,0.77568,0.64132,1,0.75574,0.00130168,0.00130168,0.00130168
29,429.937,0.76271,0.60726,1,0.8457,0.00129696,0.00129696,0.00129696
30,444.57,0.76095,0.64813,1,0.74939,0.00129224,0.00129224,0.00129224
31,459.183,0.76173,0.66742,1,0.75879,0.00128753,0.00128753,0.00128753
32,473.978,0.7595,0.65948,1,0.76355,0.00128281,0.00128281,0.00128281
33,488.593,0.75238,0.66402,1,0.73096,0.0012781,0.0012781,0.0012781
34,503.208,0.73927,0.63337,1,0.76282,0.00127338,0.00127338,0.00127338
35,517.846,0.73946,0.65721,1,0.79553,0.00126867,0.00126867,0.00126867
36,532.84,0.72753,0.65721,1,0.75964,0.00126395,0.00126395,0.00126395
37,547.501,0.72233,0.63905,1,0.77429,0.00125923,0.00125923,0.00125923
38,562.11,0.73673,0.62202,1,0.77148,0.00125452,0.00125452,0.00125452
39,576.687,0.7168,0.61862,1,0.90869,0.0012498,0.0012498,0.0012498
40,591.292,0.72053,0.68104,1,0.74988,0.00124509,0.00124509,0.00124509
41,606.098,0.71925,0.68218,1,0.73926,0.00124037,0.00124037,0.00124037
42,620.939,0.71551,0.67537,1,0.72461,0.00123566,0.00123566,0.00123566
43,635.524,0.69328,0.66856,1,0.76184,0.00123094,0.00123094,0.00123094
44,650.119,0.69502,0.66629,1,0.76135,0.00122622,0.00122622,0.00122622
45,664.801,0.70913,0.6924,1,0.72595,0.00122151,0.00122151,0.00122151
46,679.793,0.70441,0.68785,1,0.76721,0.00121679,0.00121679,0.00121679
47,694.434,0.70136,0.70148,1,0.77588,0.00121208,0.00121208,0.00121208
48,709.282,0.69588,0.64018,1,0.81409,0.00120736,0.00120736,0.00120736
49,723.884,0.6702,0.68899,1,0.76416,0.00120265,0.00120265,0.00120265
50,738.504,0.6778,0.65607,1,0.81921,0.00119793,0.00119793,0.00119793
51,753.128,0.67678,0.64472,1,0.77771,0.00119322,0.00119322,0.00119322
52,767.784,0.69199,0.68331,1,0.70068,0.0011885,0.0011885,0.0011885
53,782.761,0.66393,0.67764,1,0.73792,0.00118378,0.00118378,0.00118378
54,798.079,0.6493,0.70602,1,0.69177,0.00117907,0.00117907,0.00117907
55,812.91,0.66685,0.68104,1,0.68665,0.00117435,0.00117435,0.00117435
56,827.523,0.65502,0.68899,1,0.76282,0.00116964,0.00116964,0.00116964
57,842.197,0.63382,0.68218,1,0.72778,0.00116492,0.00116492,0.00116492
58,856.798,0.63197,0.69921,1,0.71777,0.00116021,0.00116021,0.00116021
59,871.414,0.64245,0.69467,1,0.73157,0.00115549,0.00115549,0.00115549
60,886.075,0.62221,0.68104,1,0.75366,0.00115077,0.00115077,0.00115077
61,900.692,0.64754,0.7151,1,0.6803,0.00114606,0.00114606,0.00114606
62,915.517,0.61924,0.68331,1,0.70288,0.00114134,0.00114134,0.00114134
63,930.145,0.63445,0.72418,1,0.62256,0.00113663,0.00113663,0.00113663
64,945.146,0.61232,0.69694,1,0.71875,0.00113191,0.00113191,0.00113191
65,959.765,0.58974,0.65494,1,0.77917,0.0011272,0.0011272,0.0011272
66,974.374,0.59567,0.70034,1,0.63287,0.00112248,0.00112248,0.00112248
67,988.995,0.58856,0.70602,1,0.70325,0.00111776,0.00111776,0.00111776
68,1003.64,0.59539,0.70148,1,0.72717,0.00111305,0.00111305,0.00111305
69,1018.27,0.58241,0.7185,1,0.70593,0.00110833,0.00110833,0.00110833
70,1032.88,0.58774,0.68785,1,0.6908,0.00110362,0.00110362,0.00110362
